GeneStart	GeneEnd	Chromosome	HGNCsymbol
142454227 142456288 6 GJE1
141018869 141030986 5 FCHSD1
140770244 140867453 3 SPSB4
44777054 45345690 6 SUPT3H
120517207 120741394 2 PTPN4
64662007 64684722 11 ATG2A
4666882 4682236 20 PRNP
108027942 108093369 11 NPAT
40825443 40854434 19 C19orf47
144164481 144184949 6 LTV1
15274724 15624158 8 TUSC3
166958075 167099134 3 ZBBX
205012325 205047627 1 CNTN2
142468367 142545826 6 VTA1
122610687 122669036 10 WDR11
3168600 3192563 3 TRNT1
19912657 20222339 17 SPECC1
27181956 27188085 17 ERAL1
45285516 45308735 1 PTCH2
48770551 48785285 17 ANKRD40
4702556 4709106 20 PRND
70117161 70122561 17 SOX9
55583388 55599291 19 EPS8L1
116054583 116164515 10 AFAP1L2
159057506 159065771 6 DYNLT1
156775890 156841558 4 TDO2
1860219 1862910 11 TNNI2
130577291 130617035 9 ENG
66052051 66056641 11 YIF1A
4711928 4721314 20 PRNT
66031635 66042958 17 KPNA2
156588857 156593275 5 FAM71B
7989372 7991051 19 CTXN1
132890654 133109984 10 TCERG1L
4760669 4804291 20 RASSF2
49199649 49207818 10 FAM25C
43511808 43530664 19 PSG11
180701497 180707562 3 DNAJC19
35852797 35879705 5 IL7R
63991271 63993726 11 TRPT1
118587606 118810750 12 TAOK3
20730239 21950422 4 KCNIP4
109541722 109551568 4 RPL34
699311 717833 16 WDR90
149979289 150039392 6 LATS1
70642088 71088851 17 SLC39A11
28821422 28912041 10 WAC
167654535 168155947 4 SPOCK3
62119366 62130505 20 EEF1A2
67918708 67922758 16 NRN1L
7991603 8008805 19 TIMM44
35014706 35272165 21 ITSN1
41481269 41488909 1 SLFNL1
217122588 217236750 2 MARCH4
156845270 156875069 4 CTSO
35969787 36003493 17 DDX52
63819546 63849579 3 THOC7
41931264 41934635 19 B3GNT8
197831741 198175897 2 ANKRD44
159071046 159185908 6 SYTL3
12556433 12602558 3 C3orf83
143692405 143696833 8 ARC
31760994 31889788 14 HEATR5A
30375158 30385702 15 GOLGA8J
67927175 67963581 16 PSKH1
48796905 48833574 17 LUC7L3
133747955 133773331 10 PPP2R2D
109571740 109588976 4 OSTC
47073387 47082563 1 MOB3C
45295894 45632086 6 RUNX2
205052258 205053645 1 TMEM81
153242410 153457253 4 FBXW7
157681606 157892546 4 PDGFC
12598513 12625212 3 MKRN2
66059341 66064135 11 TMEM151A
47249303 47280245 19 FKRP
72858619 72869156 17 FDXR
667335 677439 2 TMEM18
217277137 217347776 2 SMARCAL1
3190676 3221394 3 CRBN
26501449 26510650 6 BTN1A1
41937223 41946622 19 ATP5SL
66081958 66084515 11 CD248
99791567 99930934 15 LRRC28
205055270 205091143 1 RBBP5
14081842 14398982 9 NFIB
3659733 3663546 11 ART5
18942747 18979045 19 UPF1
143751726 143764142 8 PSCA
61509665 61523739 17 CYB561
129190397 129209984 4 PGRMC2
40854363 40886346 19 PLD3
73629514 73637484 17 SMIM5
66097713 66104311 11 RIN1
68665120 68710628 5 RAD17
29653773 29937692 12 TMTC1
31032884 31191734 13 HMGB1
65871091 65903627 15 VWA9
151977826 152450754 6 ESR1
30427352 30437770 15 GOLGA8T
7456880 7481320 12 ACSM4
108093211 108239829 11 ATM
47098409 47139539 1 ATPAF1
144185573 144259483 6 ZC2HC1B
143781529 143786545 8 LY6K
94821021 94828454 10 CYP26C1
51795774 51847636 18 POLI
18218624 18226517 17 SMCR8
18900294 18924066 22 PRODH
13621730 13711796 6 RANBP9
34522268 34524157 17 CCL3L3
7905912 7923657 17 GUCY2D
26538633 26546482 6 HMGN4
62152077 62153559 20 PPDPF
3666358 3685646 11 ART1
41492872 41707826 1 SCMH1
29138019 29153503 22 HSCB
10971952 11904155 5 CTNND2
10529434 10530723 11 MTRNR2L8
29674300 29682187 16 SPN
10533225 10562777 11 RNF141
54685895 54694905 12 NFE2
30653443 30686052 15 CHRFAM7A
140947568 141013748 3 ACPL2
94833232 94837647 10 CYP26A1
172173919 172291312 2 METTL8
43568363 43587197 19 PSG2
29674600 29710020 16 QPRT
96829814 96853625 14 GSKIP
24150155 24227779 2 UBXN2A
58672871 58811000 11 GLYATL1
7499281 7632493 12 CD163L1
62159778 62168723 20 PTK6
38717074 38736820 10 LINC00999
109663196 109684210 4 ETNPPL
37793318 37819737 17 STARD3
41010293 41012076 6 TSPO2
12625100 12705725 3 RAF1
150240600 150253327 1 C1orf54
146155744 146176274 8 ZNF16
29753784 29757327 16 C16orf54
73642323 73644057 17 SMIM6
172162923 172166246 3 GHSR
47278140 47291851 19 SLC1A5
29168662 29185283 22 CCDC117
45316450 45452282 1 EIF2B3
26597180 26600278 6 ABT1
126378250 126409184 5 C5orf63
3686817 3692614 11 CHRNA10
34538310 34540280 17 CCL4L1
44115829 44171186 1 KDM4A
133781578 133795435 10 BNIP3
29789561 29793096 16 ZG16
66104804 66112596 11 BRMS1
63993413 63998158 11 NUDT22
205111632 205180727 1 DSTYK
51850728 51884334 18 STARD6
18231187 18266856 17 SHMT1
1874200 1913497 11 LSP1
7942335 7952452 17 ALOX15B
201838441 201936394 2 FAM126B
47124366 47184824 1 EFCAB14
33257079 33266178 6 PFDN6
62423248 62451866 2 B3GNT2
64685025 64701945 11 PPP2R5B
172223298 172241297 3 TNFSF10
73169165 73302747 2 SFXN5
45313004 45318418 20 TP53RK
133918175 133998313 10 JAKMIP3
67961543 67966317 16 CTRL
58874658 58894883 11 FAM111B
156693089 156822606 5 CYFIP2
114195268 114253766 2 CBWD2
130628759 130640022 9 AK1
51884287 51911588 18 C18orf54
38475065 38608456 5 LIFR
159186773 159240444 6 EZR
3742498 4508965 3 SUMF1
109510927 109605828 2 EDAR
135969148 136056738 3 PCCB
31191830 31233686 13 USPL1
43670408 43690688 19 PSG5
125767184 125853206 10 CHST15
71029740 71161638 10 HK1
49364601 49482941 10 FRMPD2
45338126 45364965 20 SLC2A10
29802040 29816706 16 KIF22
38758753 38831428 8 PLEKHA2
38423305 38671167 7 AMPH
29190543 29196585 22 XBP1
21742008 21977844 18 OSBPL1A
157997209 158093242 4 GLRB
695428 705028 11 TMEM80
58910221 58922512 11 FAM111A
47134527 47139266 1 TEX38
129730779 129796379 4 JADE1
156977531 157251408 3 VEPH1
52254988 52266724 18 DYNAP
50229045 50233949 3 GNAT1
33259431 33267101 6 RGL2
140390577 140422590 7 NDUFB2
143808621 143818345 8 THEM6
126626523 126801429 5 MEGF10
41021043 41032250 6 APOBEC2
63850233 63989138 3 ATXN7
63997750 64001758 11 DNAJC4
52385091 52562747 18 RAB27B
14611069 14693469 9 ZDHHC21
10578513 10633236 11 LYVE1
24872538 25012597 10 ARHGAP21
67968405 67970990 16 PSMB10
62172163 62178857 20 SRMS
142622991 142767403 6 GPR126
26531041 26569685 2 GPR113
66112843 66115163 11 B3GNT1
150688083 150711676 7 NOS3
4833002 4990939 20 SLC23A2
41040684 41067715 6 NFYA
31309645 31338556 13 ALOX5AP
45523263 45817492 20 EYA2
81142081 81205383 10 ZCCHC24
99871009 99922445 5 FAM174A
21593972 21598847 6 SOX4
56379478 56535483 15 RFX7
41827594 41849262 1 FOXO6
14719722 14722715 9 CER1
205197304 205242471 1 TMCC2
172348039 172429008 3 NCEH1
150045451 150070801 6 NUP43
58938903 58976060 11 DTX4
64701943 64703360 11 GPHA2
31480328 31499709 13 MEDAG
175936978 176033110 2 ATF2
96858448 96955764 14 AK7
41944446 41950344 1 EDN2
47223510 47285085 1 CYP4B1
66129992 66139685 11 SLC29A2
26880709 27121257 5 CDH9
150254953 150259505 1 C1orf51
31506840 31549639 13 TEX26
29279580 29453475 22 ZNRF3
22346694 22517677 4 GPR125
64704989 64739557 11 C11orf85
45922279 45933240 17 SP6
75625656 75677322 7 STYXL1
141032968 141061788 5 ARAP3
180306709 180726232 2 ZNF385B
67973653 67978034 16 LCAT
132136370 132257876 3 DNAJC13
42502730 42565861 15 TMEM87A
187558698 187630685 2 FAM171B
159290971 159331385 6 C6orf99
99473610 99474680 7 OR2AE1
56536207 56738195 15 TEX9
205271187 205290883 1 NUAK2
144261437 144385735 6 PLAGL1
45973516 46006323 17 SP2
87878670 88627447 8 CNBD1
43084555 43133992 10 ZNF33B
15965387 16424999 8 MSR1
130647600 130667687 9 ST6GALNAC6
3841121 3889387 3 LRRN1
63996225 64009658 3 PSMD6
14734664 14910993 9 FREM1
747329 765024 11 TALDO1
108194987 108210194 7 THAP5
81272357 81276188 10 EIF5AL1
113127669 113192065 2 RGPD8
43278249 43330385 10 BMS1
146277764 146281416 8 C8orf33
55602281 55628927 19 PPP1R12C
29454660 29457832 22 C22orf31
23410516 23504301 1 LUZP1
73663196 73704142 17 SAP30BP
42299317 42307699 3 CCK
64002010 64006259 11 VEGFB
159393903 159421219 6 RSPH3
718086 724174 16 RHOT2
20896970 20903801 14 KLHL33
41972036 42501596 1 HIVEP3
18979361 19007536 19 CERS1
81315608 81320153 10 SFTPA2
4344988 4359251 3 SETMAR
66188475 66194178 11 NPAS4
111478138 111755013 5 EPB41L4A
29469066 29564321 22 KREMEN1
56713742 56757335 15 MNS1
31710762 31736525 13 HSPH1
71127720 71160576 2 VAX2
167159577 167196792 3 SERPINI2
64755415 64764517 11 BATF2
23516993 23521222 1 HTR1D
62184373 62188061 20 C20orf195
24232951 24286191 2 MFSD2B
205305220 205326218 1 KLHDC8A
112279782 112334343 12 MAPKAPK5
10594638 10715535 11 MRVI1
42438570 42452092 3 LYZL4
66243715 66253297 17 AMZ2
54694986 54745633 12 COPZ1
20914570 20923264 14 OSGEP
8023463 8070543 19 ELAVL1
47300724 47308128 17 PHOSPHO1
5080486 5093749 20 TMEM230
27593389 27599995 2 SNX17
99474581 99517223 7 TRIM4
150266289 150281414 1 MRPS21
3692313 3819022 11 NUP98
181429714 181432221 3 SOX2
74724644 74730443 2 LBX2
126085872 126107545 10 OAT
152689290 152955593 2 CACNB4
64008475 64011604 11 FKBP2
88882973 88886296 8 DCAF4L2
41949063 41950670 19 C19orf69
31193857 31329253 5 CDH6
45468212 45477001 1 HECTD3
64781585 64789656 11 ARL2
66202546 66234209 11 MRPL11
62189439 62205592 20 HELZ2
19023795 19109967 22 DGCR2
74732170 74735707 2 PCGF1
42055886 42093197 19 CEACAM21
113547029 113666021 3 GRAMD1C
23630264 23670829 1 HNRNPR
89044237 89340254 8 MMP16
8117651 8127534 19 CCL25
29601840 29655586 22 EMID1
172290727 172341562 2 DCAF17
182511288 182639423 3 ATP11B
159455500 159466184 6 TAGAP
205350506 205425082 1 LEMD1
42619092 42621495 1 GUCA2B
30695943 30706463 15 GOLGA8R
24252210 24272445 2 C2orf44
71163012 71192536 2 ATP6V1B1
62727356 62739029 2 TMEM17
50263724 50296787 3 GNAI2
43479565 43484728 6 YIPF3
47394849 47407156 1 CYP4A11
30781922 30848920 12 IPO8
48503519 48552206 17 ACSF2
42530791 42579059 3 VIPR1
42628362 42630389 1 GUCA2A
100017370 100256671 15 MEF2A
203241659 203432474 2 BMPR2
96687694 96705199 2 GPAT2
767220 777488 11 PDDC1
64011956 64014413 11 PPP1R14B
70219084 70352877 12 MYRFL
946554 1371385 2 SNTG2
71161151 71167185 17 SSTR2
130670165 130679317 9 ST6GALNAC4
100142639 100238970 5 ST8SIA4
52568740 52626739 18 CCDC68
30844183 30854704 15 GOLGA8Q
66234216 66244808 11 PELI3
88695297 88729238 10 MMRN2
42125344 42133442 19 CEACAM4
16849678 16859690 8 FGF20
2443223 2474242 7 CHST12
24272571 24286551 2 FKBP1B
109745804 110262207 2 SH3RF3
58975983 58980424 11 MPEG1
9596343 10211841 6 OFCC1
59131885 59132921 11 OR5AN1
65903704 65953333 15 SLC24A1
59189416 59190449 11 OR5A2
56922379 57210769 15 ZNF280D
59210617 59211667 11 OR5A1
35904397 35938881 5 CAPSL
59224411 59225464 11 OR4D6
169013666 169108841 4 ANXA10
56390964 56400425 12 SUOX
59244846 59245869 11 OR4D10
42642210 42801548 1 FOXJ3
30896329 30906764 15 GOLGA8H
150293925 150325671 1 PRPF3
59271049 59271984 11 OR4D11
121647660 121671909 12 P2RX4
2552163 2568811 7 LFNG
59282386 59283330 11 OR4D9
134000404 134019280 10 DPYSL4
16884747 16980153 8 MICU3
26636518 26659980 6 ZNF322
129786076 130014764 4 SCLT1
42177235 42210895 19 CEACAM7
46018872 46025654 17 PNPO
67977377 68003504 16 SLC12A4
59341871 59383617 11 OSBP
71189129 71204646 17 COG1
64794880 64808044 11 SNX15
29655841 29664198 22 RHBDD3
101569690 101632253 5 SLCO4C1
64018995 64036622 11 PLCB3
30916697 31065196 15 ARHGAP11B
8130286 8214730 19 FBN3
15163620 15307358 9 TTC39B
144416018 144416754 6 SF3B5
62900986 63273622 2 EHBP1
90965694 90967071 10 CH25H
80529104 80562216 5 CKMT2
134181370 134195427 5 C5orf24
113587663 113597081 12 CCDC42B
99520892 99527243 7 GJC3
38831683 38846181 8 HTRA4
57449426 57481846 12 TMEM194A
167196472 167371771 3 WDR49
94039446 94620279 5 MCTP1
31774073 31906413 13 B3GALTL
144471663 144509507 6 STX11
130683158 130693076 9 PIP5KL1
143087382 143105985 7 EPHA1
725666 728268 16 RHBDL1
205473723 205501921 1 CDK18
31686425 31689622 6 LY6G6C
2577511 2595361 7 BRAT1
47427036 47516423 1 CYP4X1
23685941 23695935 1 ZNF436
42212504 42233718 19 CEACAM5
135242667 135333505 7 NUP205
159590429 159693141 6 FNDC1
62218955 62258394 20 GMEB2
59404189 59436453 11 PATL1
40885178 40896094 19 HIPK4
31196055 31235311 15 FAN1
103370423 103455052 10 FBXW4
23695490 23698332 1 C1orf213
38846327 38854343 8 TM2D2
90973326 91174314 10 LIPA
47341393 47354249 19 AP2S1
140419127 140624564 7 BRAF
81370695 81375196 10 SFTPA1
45868045 46048132 6 CLIC5
5095599 5107272 20 PCNA
66247484 66277130 11 DPP3
17013538 17082308 8 ZDHHC2
113594979 113623284 12 DDX54
134209493 134237215 5 TXNDC15
69092613 69098649 2 BMP10
32313674 32377009 13 RXFP2
77787227 77797940 14 GSTZ1
36046435 36105237 17 HNF1B
23707554 23751233 1 TCEA3
40899675 40919273 19 PRX
85408094 85430055 12 TSPAN19
42846466 42888249 1 RIMKLA
67663061 67713731 12 CAND1
1910375 1912084 11 C11orf89
108210012 108215294 7 DNAJB9
47533160 47583991 1 CYP4Z1
187692562 187713935 2 ZSWIM2
130697378 130700763 9 DPM2
62271061 62284780 20 STMN3
180809603 180871840 2 CWC22
76585340 76792380 10 KAT6B
27206353 27224697 17 FLOT2
47421933 47508334 19 ARHGAP35
730224 732870 16 STUB1
64808373 64812300 11 SAC3D1
130880682 131200826 12 RIMBP2
169137444 169239958 4 DDX60
90769975 90803291 8 RIPK2
7623409 7656489 12 CD163
42896000 42921938 1 ZMYND12
47603107 47615413 1 CYP4A22
69172364 69180102 2 GKN2
34580902 34757050 17 TBC1D3C
41117080 41122075 6 TREML1
45477819 45481247 1 UROD
13786789 13814800 6 MCUR1
17086737 17104387 8 CNOT7
75794042 75915767 6 COL12A1
38854388 38962663 8 ADAM9
143140546 143141502 7 TAS2R60
31915242 31926716 14 DTD2
143174966 143175889 7 TAS2R41
20923350 20925927 14 APEX1
74740590 74744274 2 TLX2
22006580 22033499 18 IMPACT
40927499 40931932 19 SERTAD1
47523077 47549033 19 NPAS1
108179246 108338258 11 C11orf65
34656342 34832732 5 RAI14
43572475 43625799 10 RET
32605437 32870794 13 FRY
95066186 95242074 10 MYOF
96967770 97033448 14 PAPOLA
131991955 131996802 5 IL13
47366568 47439835 17 ZNF652
130702858 130742792 9 FAM102A
29663998 29696515 22 EWSR1
74745258 74753463 2 DQX1
203499901 203634480 2 FAM117B
31959162 32330430 14 NUBPL
69201705 69208106 2 GKN1
42921788 42939056 1 PPCS
143318043 143427502 7 FAM115C
65950384 66084631 15 DENND4A
44171495 44396831 1 ST3GAL3
90914087 90940116 8 OSGIN2
188207856 188313187 2 CALCRL
47649265 47656716 1 PDZK1IP1
228189867 228222550 2 MFF
43696854 43711451 19 PSG4
4535032 4889524 3 ITPR1
201936156 201950473 2 NDUFB3
47549165 47551888 19 TMEM160
99564343 99573780 7 AZGP1
64812290 64826021 11 NAALADL1
40946751 40950612 19 SERTAD3
47567444 47617009 19 ZC3H4
1940792 1959936 11 TNNT3
198254508 198299815 2 SF3B1
144606837 145174170 6 UTRN
47681962 47697892 1 TAL1
52226219 52272575 6 PAQR8
46029333 46035244 17 PRR15L
110300559 110371783 2 SEPT10
15422702 15465951 9 SNAPC3
64079543 64431152 3 PRICKLE2
141043055 141168634 3 ZBTB38
56401443 56432219 12 IKZF4
48912011 48919709 17 WFIKKN2
130823512 130830485 9 NAIF1
64037302 64052176 11 BAD
40953696 40971747 19 BLVRB
43922256 43924438 17 SPPL2C
35275757 35288284 21 ATP5O
26531415 26618759 2 EPT1
35951112 36001130 5 UGT3A1
24299396 24392509 2 FAM228B
69091 70008 1 OR4F5
55644162 55660722 19 TNNT1
23755056 23811061 1 ASAP3
38724946 38726637 7 FAM183B
48939584 48945339 17 TOB1
116190872 116444762 10 ABLIM1
367640 368634 1 OR4F29
52285106 52387892 6 EFHC1
61554422 61599205 17 ACE
90945564 91015456 8 NBN
621059 622053 1 OR4F16
160090089 160183561 6 SOD2
102803433 102856462 2 IL1RL2
62289163 62328416 20 RTEL1
47481414 47492246 17 PHB
75677369 75696826 7 MDH2
31231144 31283810 15 MTMR10
19117792 19132197 22 DGCR14
731671 734529 16 JMJD8
18280976 18292961 17 EVPLL
99613204 99639312 7 ZKSCAN1
10772534 10801290 11 CTR9
41126244 41130924 6 TREM2
101707486 101834720 5 SLCO6A1
18979361 19006905 19 GDF1
26691378 26728065 17 SARM1
112369086 112450970 12 TMEM116
860260 879955 1 SAMD11
42929001 43120335 1 CCDC30
29817427 29823649 16 MAZ
157154578 157161417 3 PTX3
172468472 172539264 3 ECT2
74753772 74757066 2 AUP1
12775024 12810956 3 TMEM40
130830480 130871524 9 SLC25A25
205538013 205572046 1 MFSD4
41158015 41168932 6 TREML2
140705854 140715028 7 MRPS33
130014472 130037795 4 C4orf33
38762563 38971994 7 VPS41
4046462 4090605 17 CYB5D2
54756229 54758271 12 GPR84
157261035 157395538 3 C3orf55
32877837 32889481 13 ZAR1L
47715811 47779819 1 STIL
79476997 79490873 17 ACTG1
35445524 35515334 21 MRPS6
134020996 134145351 10 STK32C
43971748 44105700 17 MAPT
19118321 19120134 22 TSSK2
15464064 15511017 9 PSIP1
64037534 64056972 11 GPR137
19136089 19137796 22 GSC2
40972148 41082370 19 SPTBN4
19010323 19030206 19 COPE
47616531 47713886 19 SAE1
17104080 17159936 8 VPS37A
43715943 43773682 19 PSG9
35445870 35478559 21 SLC5A3
126135592 126138753 10 NKX1-2
108524032 108524644 7 C7orf66
54762917 54785082 12 ZNF385A
19163095 19166343 22 SLC25A1
52889562 53332018 18 TCF4
32889611 32973805 13 BRCA2
5107432 5178533 20 CDS2
134240596 134343649 5 PCBD2
35736323 35743688 21 KCNE2
205577071 205601090 1 ELK4
29823177 29827201 16 PRRT2
734622 740444 16 WDR24
24300303 24308731 2 TP53I3
7801996 7818499 12 APOBEC1
150335567 150449042 1 RPRD2
102927962 102968497 2 IL1RL1
110303110 111202573 7 IMMP2L
126150403 126306457 10 LHPP
35747779 35780164 21 SMIM11
132276982 132379567 3 ACAD11
85430092 85657002 12 LRRIQ1
64501333 64673676 3 ADAMTS9
57210821 57591479 15 TCF12
201980827 202041410 2 CFLAR
160146617 160177351 6 WTAP
25652464 25702011 6 SCGN
101846664 102517958 6 GRIK2
205626979 205649587 1 SLC45A3
22040593 22059921 18 HRH4
22287480 22297730 6 PRL
169277886 169458937 4 DDX60L
742500 755829 16 FBXL16
41196062 41206620 6 TREML4
66278077 66301098 11 BBS1
50316458 50325545 3 LSMEM2
7975954 7991021 17 ALOX12B
1377995 1547483 2 TPO
44543420 44589001 2 PREPL
35818988 35884573 21 KCNE1
143822362 143823829 8 SLURP1
126853301 126890781 5 PRRC1
73300510 73383849 2 RAB11FIP5
217362912 217443903 2 RPL37A
31400604 31532303 5 DROSHA
143831568 143833952 8 LYPD2
59480296 59481337 11 OR10V1
205681947 205719404 1 NUCKS1
29702572 29708774 22 GAS2L1
134070470 134129356 4 PCDH10
32974861 33002315 13 N4BP2L1
22641890 22932154 18 ZNF521
43124096 43142429 1 PPIH
29831715 29859355 16 MVP
108342832 108369159 11 KDELC2
765115 769655 16 METRN
130882972 130890741 9 PTGES2
70636774 70748773 12 CNOT2
110731062 110765510 7 LRRN3
143845752 143859640 8 LYNX1
188328957 188430487 2 TFPI
59480929 59573354 11 STX3
47799469 47844511 1 CMPK1
50325163 50330349 3 IFRD2
33189247 33294720 10 ITGB1
131274145 131323811 12 STX2
18380051 18398259 17 LGALS9C
88718375 88723017 10 SNCG
10818597 10830657 11 EIF4G2
42254885 42276113 19 CEACAM6
66255323 66418872 17 ARSG
135117488 135122903 4 PABPC4L
118894824 118901616 11 SLC37A4
35885440 35987441 21 RCAN1
43633934 43680756 10 CSGALNACT2
160181360 160200144 6 ACAT2
46045176 46059140 17 CDK5RAP3
770581 772601 16 FAM173A
35226686 35263762 6 ZNF76
2598632 2654368 7 IQCE
15552895 16061661 9 CCDC171
29708922 29715668 22 RASL10A
33448598 33457751 17 FNDC8
138440072 138453648 4 PCDH18
5282317 5297378 20 PROKR2
62290653 62330037 20 RTEL1-TNFRSF6B
80597409 80609116 5 ZCCHC9
30369807 30383399 2 YPEL5
126307861 126432838 10 FAM53B
205737114 205744588 1 RAB7L1
7999218 8022365 17 ALOXE3
42300369 42315591 19 CEACAM3
118814185 118855840 12 SUDS3
203640690 203736708 2 ICA1L
22569678 22571892 6 HDGFL1
5525085 5591672 20 GPCPD1
36035119 36071460 5 UGT3A2
17155539 17271037 8 MTMR7
64058774 64067503 11 KCNK4
140774032 141180180 7 TMEM178B
64833772 64851636 11 CDCA5
120770581 120936695 2 EPB41L5
157814948 157824292 3 SHOX2
111755280 111756310 5 EPB41L4A-AS2
45837859 45985567 20 ZMYND8
96778707 96781984 2 ADRA2B
47881744 47883723 1 FOXE3
76797594 76818272 10 DUPD1
33006554 33112970 13 N4BP2L2
109731877 110223813 4 COL25A1
88727949 88743691 10 ADIRF
110810705 110841535 12 ANAPC7
47901689 47906363 1 FOXD2
787104 790123 11 CEND1
228226872 228246711 2 TM4SF20
108376158 108464465 11 EXPH5
32545320 32628934 14 ARHGAP5
48226200 48462567 1 TRABD2B
772582 776954 16 CCDC78
49514698 49647403 10 MAPK8
130911350 130915734 9 LCN2
19030484 19039436 19 DDX49
36283971 36294915 17 TBC1D3F
59573608 59578345 11 MRPL16
217497551 217529159 2 IGFBP2
43148098 43168020 1 YBX1
36041688 36090525 21 CLIC6
30454397 30546596 2 LBH
62328021 62330037 20 TNFRSF6B
24126350 24155128 6 NRSN1
141250989 141355044 7 AGK
25726291 25726790 6 HIST1H2AA
23596578 23671181 18 SS18
25727137 25727573 6 HIST1H2BA
131356424 131362223 12 RAN
76854192 76868979 10 DUSP13
143452182 143454789 7 CTAGE6
8271620 8327305 19 CERS4
7842378 7848372 12 GDF3
23756664 23905712 4 PPARGC1A
29723669 29819168 22 AP1B1
228336868 228425930 2 AGFG1
7864050 7870155 12 DPPA3
25754927 25781419 6 SLC17A4
59596741 59612974 11 GIF
42341148 42348760 19 LYPD4
143548468 143599291 7 FAM115A
182655862 182703741 3 DCUN1D1
62329996 62339377 20 ARFRP1
48688357 48714316 1 SLC5A9
112043195 112181936 5 APC
205758221 205782876 1 SLC41A1
160199530 160210781 6 TCP1
47724081 47736023 19 BBC3
172378757 172414643 2 CYBRD1
879584 894689 1 NOC2L
141232938 141258811 5 PCDH1
139085251 139163503 4 SLC7A11
64067863 64072242 11 TEX40
88780063 88784487 10 FAM25A
135347244 135378166 7 C7orf73
75831216 75916605 7 SRRM3
108535752 108811657 11 DDX10
91013633 91064320 8 DECR1
57482677 57489259 12 NAB2
64851695 64855870 11 ZFPL1
36160098 37376965 21 RUNX1
33455772 33469334 17 NLE1
45482071 45771881 1 ZSWIM5
19166986 19279239 22 CLTCL1
143866296 143868008 8 LY6D
16203933 16276311 9 C9orf92
42348806 42356401 19 DMRTC2
59620273 59634048 11 TCN1
33160564 33352157 13 PDS5B
47759237 47775210 19 CCDC9
66018392 66184329 15 RAB11A
43490072 43543812 6 XPO5
143915663 143997922 8 GML
790475 798316 11 SLC25A22
4067201 4167274 17 ANKFY1
64073044 64084215 11 ESRRA
135365985 135414006 7 SLC13A4
42589461 42642572 3 SEC22C
132009678 132018368 5 IL4
67776048 67796744 11 ALDH3B1
50101508 50158717 12 TMBIM6
130922539 130926207 9 C9orf16
57668165 57842925 15 CGNL1
88810243 88854623 10 GLUD1
56703626 56710120 12 CNPY2
143953772 143961262 8 CYP11B1
45792545 45794347 1 HPDL
169418217 169849608 4 PALLD
8367011 8373240 19 CD320
134303596 134347392 5 CATSPER3
30670092 30867091 2 LCLAT1
68009566 68014732 16 DPEP3
150459887 150480078 1 TARS2
205797150 205819260 1 PM20D1
27224799 27230089 17 DHRS13
47778142 47778979 19 PRR24
16409501 16870841 9 BNC2
20352708 20370852 17 LGALS9B
55663137 55669141 19 TNNI3
42565431 42645864 15 GANC
7882011 7904201 12 CLEC4C
47793280 47825323 19 C5AR1
91061712 91069033 10 IFIT2
3818954 3847601 11 PGAP2
47835404 47846606 19 C5AR2
76738254 76742222 12 BBS10
20925878 20929771 14 TMEM55B
62338817 62367494 20 ZGPAT
17354597 17428082 8 SLC7A2
135502453 135540311 6 MYB
71205510 71212626 2 ANKRD53
895967 901095 1 KLHL17
42363988 42376994 19 RPS19
27093676 27100541 6 HIST1H2BJ
25137536 25241533 10 PRTFDC1
43689983 43762367 10 RASGEF1A
47852538 47885961 19 DHX34
23832922 23857712 1 E2F2
13924677 13980533 6 RNF182
160210844 160219468 6 MRPL18
31694815 31698394 6 DDAH2
36098514 36152063 5 LMBRD2
776936 785525 16 HAGHL
27100832 27103070 6 HIST1H2AG
46097730 46114436 6 ENPP4
7917812 7926717 12 NANOGNB
29869678 29875057 16 CDIPT
56435637 56438116 12 RPS26
143991975 143999259 8 CYP11B2
10393419 10419892 6 TFAP2A
29834572 29838444 22 RFPL1
23884409 23886285 1 ID3
27106073 27114619 6 HIST1H2BK
75931861 75933612 7 HSPB1
64083932 64085556 11 TRMT112
139936943 139966906 4 CCRN4L
29876219 29887379 22 NEFH
46126924 46138708 6 ENPP5
68021297 68034489 16 DPEP2
102089685 102366809 5 PAM
59705928 59712807 11 OOSP1
96789589 96804175 2 ASTL
217536828 217560248 2 IGFBP5
38964509 39142430 8 ADAM32
48761044 48937845 1 SPATA6
27107076 27108418 6 HIST1H4I
59807748 59815517 11 OOSP2
85673885 85695562 12 ALX1
109292846 109299840 11 C11orf87
66187417 66546085 15 MEGF11
113623331 113630173 12 RITA1
26624784 26679579 2 DRC1
64856796 64879332 11 VPS51
41235664 41254457 6 TREM1
23907985 23967058 1 MDS2
48541857 48546327 17 CHAD
105175968 105307794 6 HACE1
160221298 160241736 6 PNLDC1
37406839 37451687 21 SETD4
86198331 86230348 12 RASSF9
7940390 7948655 12 NANOG
17134980 17503921 9 CNTLN
901877 911245 1 PLEKHN1
91070836 91107703 8 CALB1
73429386 73439641 2 NOTO
109964087 110042566 11 ZC3H12C
185430316 185447575 3 C3orf65
136055077 136471220 3 STAG1
144099399 144105249 8 LY6E
96808905 96811179 2 DUSP2
205882176 205912588 1 SLC26A9
59824060 59838601 11 MS4A3
81462983 81474437 10 NUTM2B
134363425 134370503 5 PITX1
42381190 42385439 19 CD79A
54789045 54813244 12 ITGA5
5020801 5027008 3 BHLHE40
33590207 33640282 13 KL
