transcript	GENE_NAME	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	adj_exp_syn	adj_exp_mis	adj_exp_lof	syn_z	mis_z	lof_z	em_p_hi
ENST00000226299.4	LAP3	4	13	17579088	17609212	1560	7.63E-06	1.65E-05	1.28E-06	84	168	8	86.29850003	179.0728293	18.63633038	0.153388333	0.404724137	2.440626466	0.001220134
ENST00000382438.5	NKX3-2	4	2	13543616	13546038	1002	1.22E-05	2.00E-05	3.77E-07	60	125	2	91.51057099	150.1076377	3.401614258	2.042067692	1.002352132	0.752793137	0.058492521
ENST00000226951.6	CLNK	4	18	10492090	10669493	1287	4.61E-06	1.14E-05	1.37E-06	59	171	26	48.85261475	112.7354688	18.39963791	-0.900036118	-2.684047229	-1.755170513	1.35E-20
ENST00000002596.5	HS3ST1	4	1	11400705	11401629	924	7.67E-06	1.41E-05	5.03E-07	63	119	4	87.29047	160.2237546	6.11826826	1.611765892	1.592945322	0.848313514	0.00617541
ENST00000341285.3	FBXL5	4	11	15607345	15656910	2076	7.22E-06	1.80E-05	1.56E-06	91	156	2	77.97536942	191.0844759	20.18493671	-0.914399736	1.241420841	4.009477068	0.977580082
ENST00000259989.6	FGFBP2	4	1	15964080	15964752	672	2.90E-06	6.81E-06	4.92E-07	44	77	9	33.32778	77.533741	5.9955757	-1.146043373	0.029648373	-1.215445678	1.14E-07
ENST00000424120.1	CC2D2A	4	36	15477556	15603048	4863	1.75E-05	4.47E-05	5.40E-06	174	477	32	164.0750282	393.6214925	54.58709335	-0.48035108	-2.055564516	3.028342866	5.49E-15
ENST00000538197.1	CPEB2	4	12	15004297	15068004	3105	2.66E-05	4.55E-05	2.37E-06	89	165	2	122.7975061	260.7989991	23.23461045	1.89077254	2.901512778	4.363814915	0.992723049
ENST00000510224.1	PROM1	4	26	15972689	16077529	2598	1.05E-05	2.40E-05	2.56E-06	108	303	27	99.96640527	221.7141902	30.50493323	-0.498117802	-2.670141979	0.628614494	7.17E-17
ENST00000511148.2	CLRN2	4	3	17516889	17528705	699	4.67E-06	8.34E-06	5.49E-07	61	95	6	54.1254	95.7590904	7.48045363	-0.579290395	0.037941955	0.536192257	0.00028945
ENST00000405303.2	TAPT1	4	14	16164930	16228080	1704	8.43E-06	1.81E-05	1.50E-06	49	95	3	49.14164492	112.4385177	15.19136994	0.012525946	0.804392589	3.09844465	0.563962465
ENST00000295297.4	C1QTNF7	4	3	15341818	15444423	891	3.82E-06	8.22E-06	3.90E-07	41	104	3	43.93418	92.8246424	4.82556731	0.274432126	-0.56734387	0.823215153	0.019910131
ENST00000226279.3	CD38	4	8	15780037	15850225	903	4.19E-06	9.63E-06	7.73E-07	28	105	8	50.39222327	111.4343615	11.96189297	1.955531718	0.298136304	1.134729963	7.66E-05
ENST00000330852.5	RAB28	4	7	13370181	13485774	666	2.51E-06	5.86E-06	6.38E-07	32	61	6	28.00678784	63.70114568	9.795664266	-0.467778183	0.165535615	1.201325229	0.000997907
ENST00000251496.2	NCAPG	4	21	17812700	17845048	3048	1.01E-05	2.52E-05	2.31E-06	102	281	7	114.319123	275.5135116	33.42548302	0.714280866	-0.161674117	4.527659692	0.618144197
ENST00000264867.2	PPARGC1A	4	13	23797444	23891580	2397	9.73E-06	2.34E-05	1.91E-06	101	254	1	115.648311	270.251148	27.04006215	0.844436636	0.483521151	4.96052713	0.999660629
ENST00000504487.1	CCDC149	4	12	24810010	24914501	1590	7.73E-06	1.60E-05	1.45E-06	50	68	7	48.86825351	102.8685621	15.64682561	-0.100365981	1.681549208	2.165375713	0.002049284
ENST00000382114.4	LGI2	4	8	25005072	25032315	1638	9.31E-06	1.88E-05	1.09E-06	87	140	9	95.56326472	194.5301271	14.57198386	0.543054136	1.912314898	1.445906621	4.42E-05
ENST00000382103.2	SEPSECS	4	11	25125552	25161991	1506	5.35E-06	1.42E-05	1.46E-06	48	161	12	55.81743746	143.7541011	20.08382475	0.648677976	-0.703545502	1.786830616	2.65E-06
ENST00000382152.2	KCNIP4	4	9	20731704	21950254	753	3.08E-06	7.31E-06	6.21E-07	40	58	0	36.82674988	83.19418522	10.3683438	-0.324169437	1.351046697	3.189659382	0.967714667
ENST00000399878.3	SEL1L3	4	24	25750046	25864458	3399	1.52E-05	3.34E-05	3.00E-06	146	306	8	141.5986936	312.4750673	37.95641918	-0.229298263	0.179165825	4.816559647	0.628820332
ENST00000382247.1	DCAF16	4	1	17805113	17805764	651	1.88E-06	5.06E-06	4.35E-07	34	63	4	21.7585	57.7347344	5.34756709	-1.626932784	-0.338936654	0.577247366	0.00409866
ENST00000382051.3	SLC34A2	4	12	25664122	25678371	2073	1.20E-05	2.37E-05	1.27E-06	155	248	11	139.6893427	271.0968608	19.22810995	-0.803087579	0.686132403	1.858752099	1.02E-05
ENST00000237380.7	MED28	4	4	17616277	17625421	537	3.00E-06	5.31E-06	4.45E-07	37	75	4	34.84237943	60.36537899	6.602844013	-0.226605564	-0.921306041	1.003395761	0.007852264
ENST00000264864.6	PI4K2B	4	10	25235785	25278809	1446	7.28E-06	1.50E-05	1.07E-06	45	106	5	56.0317202	125.9783896	15.01749233	0.913641194	0.870620978	2.56064877	0.04265635
ENST00000382120.3	SOD3	4	1	24801143	24801866	723	9.71E-06	1.60E-05	3.72E-07	35	51	1	67.6258439	111.1394957	2.840450066	2.459545496	2.790243138	1.081733206	0.223646616
ENST00000336812.4	DHX15	4	14	24529546	24586016	2388	8.00E-06	2.38E-05	2.65E-06	113	69	0	94.27388004	270.0244963	35.41751548	-1.195643069	5.983617385	5.895203031	0.999997156
ENST00000504154.1	SLIT2	4	37	20255438	20620632	4590	1.93E-05	4.69E-05	4.11E-06	224	454	5	229.49486	534.8663902	60.44533045	0.224865476	1.710258869	7.064367801	0.999999067
ENST00000302874.4	ZCCHC4	4	13	25314431	25370786	1542	5.88E-06	1.43E-05	1.55E-06	64	180	11	69.78492661	161.4443059	22.15475293	0.42930577	-0.714302982	2.347557266	3.22E-05
ENST00000315368.3	ANAPC4	4	28	25379049	25420004	2427	7.85E-06	2.08E-05	2.73E-06	89	164	9	95.34686033	233.4924508	40.56890305	0.402953711	2.224426063	4.909673199	0.463847641
ENST00000382226.5	LCORL	4	7	17885342	18023374	1809	6.28E-06	1.67E-05	1.64E-06	27	48	0	24.64622848	64.5876228	10.0003899	-0.293926163	1.009545498	3.13255108	0.96311457
ENST00000503585.1	PACRGL	4	8	20706104	20728964	747	2.59E-06	5.62E-06	8.19E-07	39	67	11	28.66144881	58.78906732	11.2028571	-1.197181607	-0.523793965	0.060036522	9.14E-08
ENST00000334304.5	GPR125	4	19	22389327	22517407	3966	1.96E-05	4.31E-05	3.17E-06	198	438	8	213.4541619	470.1675897	42.95041175	0.655757922	0.725619125	5.282728687	0.916438558
ENST00000261438.5	KLF3	4	5	38682246	38698884	1038	5.15E-06	1.16E-05	6.46E-07	68	92	1	60.395353	133.6683721	9.41039187	-0.606634281	1.762823497	2.715826736	0.800390629
ENST00000381967.4	PGM2	4	14	37828354	37863233	1839	7.22E-06	1.66E-05	1.85E-06	70	207	21	78.07274175	175.6151282	25.25518372	0.566396686	-1.158393935	0.838750388	1.06E-12
ENST00000454158.2	RELL1	4	6	37633009	37687909	816	5.43E-06	1.10E-05	4.06E-07	57	90	0	58.28160529	118.4682224	6.721223598	0.104073367	1.279309389	2.568111512	0.883550395
ENST00000264866.4	TBC1D19	4	21	26585815	26756569	1581	4.72E-06	1.31E-05	2.06E-06	46	126	9	57.79785152	145.5646775	29.96002643	0.962047375	0.793161516	3.793241032	0.016101241
ENST00000261439.4	TBC1D1	4	19	37903716	38138956	3507	1.74E-05	3.78E-05	3.24E-06	198	406	20	202.2503055	430.5049343	43.87196263	0.185278255	0.577670736	3.570131708	3.94E-08
ENST00000308973.4	TLR10	4	1	38774775	38777211	2436	7.65E-06	1.89E-05	1.46E-06	78	252	13	87.10705	214.1765075	16.95826613	0.6049236	-1.264131553	0.952146911	8.43E-08
ENST00000504686.1	PTTG2	4	1	37962055	37962631	576	2.08E-06	5.11E-06	3.09E-07	23	75	4	23.96852	58.319883	3.92520219	0.122641501	-1.068334689	-0.037397929	0.001731611
ENST00000436693.2	TLR6	4	1	38828703	38831094	2391	8.11E-06	1.95E-05	8.79E-07	85	225	5	92.33734	221.8203193	10.38072099	0.47336857	-0.104424391	1.654308272	0.007304908
ENST00000303965.4	ARAP2	4	32	36069528	36231108	5115	1.61E-05	4.24E-05	4.61E-06	227	618	31	190.8840705	480.1566063	63.33453608	-1.620552186	-3.076883178	4.024723061	7.56E-13
ENST00000358869.2	FAM114A1	4	13	38879699	38945178	1692	7.35E-06	1.53E-05	1.16E-06	88	200	14	86.89369739	174.4266515	18.16357091	-0.073574648	-0.947102029	0.967731872	2.38E-08
ENST00000295589.3	CCKAR	4	5	26483259	26491889	1287	6.90E-06	1.55E-05	5.64E-07	82	173	4	79.66067911	176.3657149	8.386029162	-0.162486425	0.123960926	1.500316868	0.017408483
ENST00000284437.6	C4orf19	4	2	37590489	37592622	945	3.84E-06	7.93E-06	4.00E-07	42	101	4	44.385784	90.6855511	5.3745192	0.222002568	-0.529777386	0.587314475	0.00416046
ENST00000342295.1	RBPJ	4	11	26322378	26432629	1503	5.86E-06	1.41E-05	2.08E-06	72	59	0	63.81754938	153.3465069	26.82072939	-0.634983829	3.726535826	5.130090068	0.999929169
ENST00000308979.2	TLR1	4	1	38798091	38800452	2361	8.02E-06	1.88E-05	8.56E-07	109	246	17	91.30083	213.582238	10.11478173	-1.148325503	-1.08496932	-2.144515327	2.02E-14
ENST00000295958.5	SMIM14	4	4	39553745	39606765	300	9.44E-07	2.46E-06	2.31E-07	9	20	0	12.25847165	29.33015859	4.222105868	0.576959148	0.842652151	2.035421038	0.742727363
ENST00000261434.3	LIAS	4	11	39460737	39478735	1119	3.78E-06	1.10E-05	1.06E-06	49	98	5	45.70901618	124.3937448	16.03783909	-0.301768418	1.15749075	2.730240078	0.061413759
ENST00000310169.2	CHRNA9	4	5	40337484	40356537	1440	6.83E-06	1.45E-05	8.73E-07	75	189	7	78.5340532	164.8234253	11.71735476	0.247225399	-0.921090356	1.365128215	0.000411144
ENST00000381793.2	RBM47	4	4	40427920	40440910	1782	1.68E-05	3.01E-05	1.09E-06	131	181	1	191.72497	342.7739068	14.07987561	2.718802159	4.273867325	3.452978834	0.958532355
ENST00000226382.2	PHOX2B	4	3	41747823	41750627	945	9.27E-06	1.48E-05	4.50E-07	64	55	0	97.0949338	155.6068324	5.97233634	2.082153167	3.94484091	2.420816157	0.850787953
ENST00000381897.1	RFC1	4	25	39290380	39367861	3447	1.14E-05	2.95E-05	2.85E-06	151	333	10	135.4724843	334.4401346	41.22860317	-0.827037922	0.038516778	4.817734991	0.175487404
ENST00000381799.5	RHOH	4	1	40245006	40245582	576	3.03E-06	6.33E-06	4.18E-07	38	38	2	34.70002	72.1338204	5.15850104	-0.347292919	1.965766352	1.377554993	0.123279463
ENST00000313860.7	LIMCH1	4	27	41362857	41699202	3252	1.47E-05	3.35E-05	3.16E-06	146	374	5	166.2704436	369.519863	44.50754021	0.974550363	-0.113994859	5.86614603	0.999638379
ENST00000303538.8	PDS5A	4	32	39827104	39978197	4014	1.38E-05	3.47E-05	3.81E-06	141	180	5	139.9947257	337.0644066	46.91352614	-0.052673155	4.184444028	6.061705667	0.99985292
ENST00000504108.1	KLHL5	4	11	39064134	39122686	2268	7.48E-06	1.99E-05	1.65E-06	88	190	9	89.314122	230.090439	23.32628727	0.086203415	1.292729296	2.938329718	0.00136508
ENST00000261427.5	UBE2K	4	7	39699947	39780054	603	2.26E-06	5.64E-06	6.76E-07	22	6	0	26.50606583	62.51355446	9.963021805	0.542593681	3.496085033	3.126692973	0.962613421
ENST00000381782.2	NSUN7	4	11	40752710	40810956	2157	7.29E-06	1.90E-05	1.64E-06	59	191	6	74.55173481	183.564737	19.77556351	1.116604367	-0.268423396	3.068560085	0.048551891
ENST00000257408.4	KLB	4	5	39408569	39450306	3135	1.69E-05	3.47E-05	2.51E-06	172	286	8	193.874025	395.2116102	30.5036217	0.973907934	2.687016864	4.036141339	0.094473079
ENST00000316423.6	UGDH	4	11	39501762	39523132	1485	4.60E-06	1.35E-05	9.50E-07	50	105	9	55.71384473	154.4470671	15.08271789	0.474565292	1.946109806	1.551485013	5.54E-05
ENST00000284440.4	UCHL1	4	9	41258993	41270090	672	3.82E-06	7.64E-06	7.09E-07	38	50	0	38.76998564	75.80307287	10.82660652	0.07666316	1.449587554	3.259387077	0.972670211
ENST00000508593.1	APBB2	4	14	40818108	41035271	2280	1.11E-05	2.45E-05	2.10E-06	133	212	8	128.4421842	276.6108513	28.04183787	-0.249316371	1.90014855	3.749073643	0.039888866
ENST00000399820.3	WDR19	4	36	39184177	39280270	4029	1.33E-05	3.56E-05	4.04E-06	158	346	20	137.2994556	346.3169145	47.82971438	-1.095205936	0.008329172	3.986112907	1.73E-07
ENST00000261435.6	N4BP2	4	16	40098960	40155857	5313	1.70E-05	4.22E-05	2.77E-06	213	544	13	199.531415	484.8167311	38.12383578	-0.591107271	-1.314700562	4.030671176	0.000473118
ENST00000449470.2	RPL9	4	6	39456162	39460059	579	2.11E-06	6.04E-06	4.92E-07	31	37	0	25.29030219	68.71225258	7.764485122	-0.703859036	1.871226986	2.760234759	0.918456438
ENST00000381938.3	TMEM156	4	6	38972689	39033933	891	2.92E-06	7.12E-06	5.29E-07	35	100	11	33.04585034	77.62314177	8.006227666	-0.210740937	-1.242281494	-1.048080317	5.76E-09
ENST00000399770.2	GRXCR1	4	4	42895283	43032557	873	3.40E-06	8.92E-06	8.84E-07	45	127	11	40.00803595	102.435307	11.60928284	-0.489268114	-1.187143225	0.177135648	1.27E-07
ENST00000273857.4	CORIN	4	22	47597737	47839966	3129	1.35E-05	3.11E-05	2.39E-06	153	418	32	160.1374386	357.3875895	36.04896515	0.349657707	-1.568224222	0.668016694	6.35E-20
ENST00000333141.5	DCAF4L1	4	1	41983809	41985000	1191	7.29E-06	1.49E-05	8.77E-07	86	86	1	82.97109	168.7163123	10.35896699	-0.206144825	3.114791804	2.880443701	0.851426397
ENST00000295454.3	GABRB1	4	9	47033668	47428035	1425	6.76E-06	1.59E-05	1.45E-06	66	93	2	80.420705	184.27154	20.20977991	0.996900655	3.288687205	4.012486149	0.977782833
ENST00000319234.4	SHISA3	4	2	42400073	42403468	717	5.40E-06	9.80E-06	5.32E-07	39	81	5	48.6121421	90.44969946	5.005742397	0.854667566	0.485994002	0.002542429	0.000449562
ENST00000396533.1	COX7B2	4	1	46736963	46737209	246	6.45E-07	1.80E-06	9.29E-08	7	42	0	7.725402	20.7792996	1.47116358	0.161795953	-2.276988013	1.201490213	0.474554621
ENST00000295448.3	GNPDA2	4	6	44705097	44724224	831	2.61E-06	6.81E-06	4.77E-07	36	58	4	31.1401748	77.21592793	7.638443148	-0.539895922	1.069607459	1.30407594	0.012646181
ENST00000264451.7	SLC30A9	4	18	41992668	42088143	1707	5.76E-06	1.56E-05	2.23E-06	74	135	11	70.38867741	179.2605846	32.25307886	-0.266848009	1.61693057	3.70702895	0.001423485
ENST00000381668.5	ATP8A1	4	37	42414932	42658890	3495	1.31E-05	3.09E-05	4.07E-06	144	251	8	157.0592269	349.5910402	59.37972842	0.646002769	2.579132255	6.604841603	0.999804446
ENST00000273859.3	ATP10D	4	22	47514557	47593398	4281	1.49E-05	3.75E-05	3.66E-06	177	447	26	176.9379857	430.9854335	50.35137108	-0.002889552	-0.377312584	3.399440148	2.24E-11
ENST00000381571.4	COMMD8	4	5	47453661	47465668	552	2.17E-06	4.86E-06	6.53E-07	24	47	9	19.30485246	45.47091966	8.421323869	-0.662469335	-0.110912321	-0.197530905	9.08E-07
ENST00000502486.1	BEND4	4	5	42119534	42154160	1605	1.31E-05	2.13E-05	1.44E-06	47	104	0	52.73467607	105.6651893	12.80159816	0.489565143	0.079234972	3.544229364	0.986764686
ENST00000295452.4	GABRG1	4	9	46043004	46125930	1398	4.39E-06	1.19E-05	1.05E-06	72	140	6	51.58690136	134.3648577	15.03088044	-1.761930191	-0.237779906	2.307424962	0.008474484
ENST00000507489.1	NFXL1	4	22	47850179	47916220	2736	9.47E-06	2.64E-05	3.19E-06	88	234	12	98.94503766	272.8935762	41.25811952	0.682134295	1.151590061	4.512127581	0.00788898
ENST00000360029.3	KCTD8	4	2	44176806	44450540	1422	1.26E-05	2.33E-05	7.47E-07	58	138	2	114.0570216	214.7195341	7.791391988	3.254005648	2.560863931	2.055252206	0.291159282
ENST00000264318.3	GABRA4	4	9	46930241	46995441	1665	6.72E-06	1.62E-05	1.12E-06	90	127	1	78.78357146	185.1101469	16.28817858	-0.783404897	2.089070235	3.752400079	0.981416569
ENST00000504986.1	TMEM33	4	7	41937501	41956216	744	3.06E-06	6.81E-06	7.58E-07	33	75	3	35.3678525	76.95553279	11.28349034	0.246830772	0.109033765	2.44276302	0.229168918
ENST00000510861.1	GABRA2	4	9	46252324	46390723	1356	4.36E-06	1.12E-05	1.05E-06	49	53	1	53.210476	131.1257133	15.70183012	0.357834715	3.337078771	3.675242532	0.976963701
ENST00000332990.5	YIPF7	4	6	44624430	44653641	843	3.07E-06	6.73E-06	5.90E-07	44	86	7	27.95924344	59.04351398	6.879299004	-1.880666196	-1.71590719	-0.045585684	2.38E-05
ENST00000281543.5	GUF1	4	17	44680639	44700698	2010	7.92E-06	1.82E-05	2.13E-06	80	230	21	89.07780314	198.3582394	29.62499183	0.596273252	-1.09888579	1.56970946	2.37E-11
ENST00000327939.4	ZAR1	4	4	48492308	48496261	1275	1.46E-05	2.54E-05	1.13E-06	35	67	4	60.86050513	117.6509909	8.284305973	2.055032373	2.284055503	1.474491026	0.016684021
ENST00000264316.4	TXK	4	15	48069653	48136187	1584	5.65E-06	1.47E-05	1.69E-06	62	174	15	69.565523	171.0979071	25.07206461	0.562329955	-0.108519179	1.992567999	1.25E-07
ENST00000264313.6	SLAIN2	4	8	48343756	48424094	1746	9.02E-06	2.07E-05	1.31E-06	55	156	2	59.37250272	163.9908241	15.50769585	0.351792548	0.305208748	3.397795887	0.88343847
ENST00000248706.3	RASL11B	4	4	53728674	53731972	747	4.58E-06	9.19E-06	5.88E-07	55	77	2	49.10446688	97.98128201	7.786734529	-0.521569031	1.036756786	2.054213523	0.290784778
ENST00000508632.1	OCIAD2	4	6	48887500	48906566	465	1.37E-06	3.87E-06	6.13E-07	12	52	5	17.94290828	45.9434111	9.279546836	0.869765482	-0.43705192	1.391631025	0.004591571
ENST00000334635.5	DCUN1D4	4	11	52709408	52779750	879	3.15E-06	7.17E-06	9.69E-07	41	76	4	34.99399452	77.55387493	14.49896804	-0.629417441	0.086303694	2.731289684	0.160650286
ENST00000401642.3	SCFD2	4	9	53740135	54232108	2055	1.01E-05	2.08E-05	1.37E-06	104	237	12	117.678721	239.4002619	19.27397631	0.781709324	0.075878664	1.641254376	1.87E-06
ENST00000381431.5	SGCB	4	6	52890122	52904425	957	3.49E-06	9.57E-06	6.23E-07	49	118	5	35.432502	102.6380403	8.73386049	-1.413020237	-0.741668993	1.251539719	0.003600152
ENST00000402813.3	CNGA1	4	9	47938437	47973117	2280	8.17E-06	1.96E-05	1.87E-06	91	211	17	81.61767746	195.8257295	21.89138841	-0.643824634	-0.530383743	1.035583853	5.71E-10
ENST00000358350.4	FRYL	4	61	48501438	48636427	9042	3.08E-05	7.87E-05	8.01E-06	350	766	14	366.0050602	895.1064431	113.0263761	0.518637952	2.110702078	9.22679063	0.999999993
ENST00000343457.3	LRRC66	4	4	52860544	52883779	2643	1.10E-05	2.37E-05	1.13E-06	127	346	18	125.93182	269.6870154	14.44688894	-0.059011185	-2.272924543	-0.926000708	9.28E-14
ENST00000226432.4	CWH43	4	16	48988446	49063907	2100	7.27E-06	1.75E-05	1.66E-06	120	237	23	86.17396817	200.8791708	24.69911792	-2.258979861	-1.246540339	0.338666647	5.77E-15
ENST00000381501.3	TEC	4	17	48139432	48230631	1896	6.31E-06	1.61E-05	2.04E-06	88	152	10	75.99206311	184.9139873	29.43012246	-0.853952729	1.183892401	3.547882012	0.002573311
ENST00000441222.3	USP46	4	9	53463805	53525317	1101	4.44E-06	1.06E-05	9.23E-07	38	43	1	46.62087165	107.6194722	11.90645616	0.782727109	3.046734146	3.130992936	0.911054239
ENST00000337488.6	FIP1L1	4	18	54244005	54325616	1785	7.28E-06	1.86E-05	2.39E-06	83	101	7	83.71035124	207.1653121	33.23050425	0.048131818	3.607784062	4.507418	0.600789667
ENST00000273861.4	SLC10A4	4	3	48485578	48490956	1314	1.06E-05	1.78E-05	4.69E-07	51	94	2	86.35955248	152.4057875	6.002775225	2.358853927	2.314044601	1.618359053	0.167299362
ENST00000295461.5	NIPAL1	4	6	48018856	48038189	1233	4.28E-06	9.50E-06	7.43E-07	55	121	12	49.3215009	107.088563	10.03348267	-0.501262187	-0.657530227	-0.614980868	3.21E-09
ENST00000381473.3	OCIAD1	4	8	48834641	48862779	738	2.05E-06	5.87E-06	1.26E-06	29	76	11	26.35882444	69.23933373	17.41539506	-0.318922021	-0.397401753	1.52281258	4.72E-06
ENST00000295213.4	SPATA18	4	13	52917870	52961053	1617	7.23E-06	1.87E-05	1.78E-06	88	213	20	84.74281429	211.2932353	25.27021638	-0.219351721	-0.057432323	1.03851705	1.03E-11
ENST00000264218.3	NMU	4	9	56465312	56502359	525	3.31E-06	5.67E-06	9.95E-07	21	47	5	23.60730686	41.54410774	10.87824411	0.332674001	-0.414025742	1.76546008	0.008931842
ENST00000309964.4	CLOCK	4	20	56301581	56348952	2541	7.87E-06	2.11E-05	2.61E-06	101	201	4	94.06527191	238.3218277	36.25527267	-0.443265959	1.182489143	5.306459321	0.998479651
ENST00000264228.4	SRD5A3	4	5	56212503	56236258	957	5.56E-06	1.02E-05	8.10E-07	46	97	4	57.07241465	105.8916974	10.54669415	0.908612126	0.422639721	1.996887315	0.040727036
ENST00000264220.2	PPAT	4	11	57261517	57301643	1554	5.69E-06	1.44E-05	1.35E-06	55	73	1	67.83304455	164.0293124	19.61034293	0.965958192	3.476457734	4.162953104	0.994564413
ENST00000399688.3	PAICS	4	10	57302478	57325704	1299	3.88E-06	9.99E-06	1.39E-06	36	88	4	32.67438405	79.10460085	11.96304391	-0.360676964	-0.489194042	2.280593848	0.068314123
ENST00000205214.6	AASDH	4	14	57204567	57250465	3297	1.09E-05	2.59E-05	2.14E-06	130	345	13	127.9237321	296.0043	29.68008983	-0.11380572	-1.392917559	3.032881766	2.01E-05
ENST00000295645.4	PDCL2	4	6	56422723	56458276	726	1.90E-06	5.66E-06	5.32E-07	16	55	3	18.25415081	51.02765821	6.434808021	0.327078104	-0.271994472	1.341295127	0.041360287
ENST00000326902.2	GSX2	4	2	54966511	54968089	915	9.42E-06	1.50E-05	4.86E-07	48	72	2	84.03623043	134.4128304	5.666977359	2.4370003	2.633115109	1.525886327	0.148701345
ENST00000381295.2	EXOC1	4	18	56724489	56770661	2685	7.79E-06	2.25E-05	2.49E-06	99	207	9	94.26528885	257.511054	34.98070495	-0.302320073	1.539590828	4.35137364	0.096664204
ENST00000342756.5	SRP72	4	19	57333801	57368027	2016	6.98E-06	1.80E-05	2.04E-06	82	187	9	81.34881157	200.1293702	29.61664819	-0.044759124	0.453947767	3.752665492	0.014188139
ENST00000263921.3	CHIC2	4	6	54876261	54930467	498	2.73E-06	5.63E-06	6.21E-07	20	28	2	26.89112174	53.65843946	8.423265957	0.82382478	1.71327772	2.192327009	0.344123666
ENST00000381334.5	TMEM165	4	6	56262356	56291619	975	5.30E-06	1.12E-05	6.37E-07	35	63	0	44.98136504	100.6102604	8.824754386	0.922620898	1.83401133	2.942666172	0.943796614
ENST00000504228.1	KIAA1211	4	8	57164395	57193970	3702	2.46E-05	4.82E-05	2.33E-06	218	434	7	252.0507392	492.5194774	27.06352214	1.329632249	1.289749454	3.820364048	0.130364633
ENST00000257287.4	CEP135	4	24	56818296	56890769	3423	1.02E-05	2.88E-05	4.12E-06	118	381	35	121.1215218	327.1287797	55.2345938	0.175833724	-1.456846229	2.696985478	4.85E-17
ENST00000288135.5	KIT	4	21	55524181	55604723	2931	1.36E-05	2.92E-05	2.27E-06	164	250	2	162.1610494	336.6436496	34.21944882	-0.089527817	2.309764603	5.455961341	0.999879541
ENST00000263923.4	KDR	4	30	55946107	55991460	4071	1.65E-05	3.87E-05	3.55E-06	228	431	9	196.5020694	444.0776391	52.05386882	-1.392988268	0.303539391	5.911196206	0.984488112
ENST00000263925.7	LNX1	4	10	54327073	54440169	2187	9.51E-06	2.30E-05	1.78E-06	112	292	8	106.5109515	252.6196953	23.39273298	-0.329720113	-1.21188631	3.152572234	0.007243627
ENST00000257290.5	PDGFRA	4	22	55124935	55161439	3270	1.37E-05	3.15E-05	2.59E-06	168	304	3	164.281201	366.506553	38.56710145	-0.179869844	1.596986981	5.673220455	0.99987673
ENST00000360096.2	ARL9	4	3	57377497	57390042	372	1.08E-06	2.80E-06	3.09E-07	12	37	1	13.4843292	32.9396688	4.75279467	0.250590876	-0.346033505	1.705178922	0.397380994
ENST00000332644.5	TMPRSS11B	4	10	69093628	69111276	1251	3.65E-06	1.02E-05	9.75E-07	42	149	16	44.39357081	116.8780529	14.86986383	0.222707854	-1.453286079	-0.290313319	1.68E-11
ENST00000344157.4	YTHDC1	4	17	69179816	69215471	2184	6.71E-06	2.21E-05	3.45E-06	88	169	0	80.24068785	247.8605812	44.33398067	-0.537001181	2.450037665	6.595656861	0.999999899
ENST00000554144.1	HOPX	4	4	57514952	57523982	339	2.38E-06	4.01E-06	2.51E-07	6	20	1	14.83713405	22.95000252	1.785234354	1.422282098	0.301194564	0.582158665	0.146965694
ENST00000265404.2	STAP1	4	9	68424527	68472075	888	3.01E-06	7.91E-06	8.62E-07	46	102	8	36.61592552	89.87162363	13.05812909	-0.961403386	-0.625760335	1.386561588	0.00012955
ENST00000381210.3	TECRL	4	12	65145789	65275069	1092	3.36E-06	9.00E-06	1.08E-06	45	143	15	41.13078242	102.2102479	16.32557207	-0.37401534	-1.973426015	0.324981609	6.40E-10
ENST00000334830.7	TMPRSS11A	4	10	68777059	68829111	1266	4.35E-06	1.10E-05	1.61E-06	58	140	18	53.4330399	128.7816043	22.40985566	-0.387321597	-0.483526717	0.922772272	9.57E-11
ENST00000295666.4	IGFBP7	4	5	57897482	57976517	849	7.36E-06	1.29E-05	5.22E-07	22	60	4	42.64866875	79.11138237	6.049810743	1.960147729	1.050966836	0.825529451	0.005963209
ENST00000514591.1	LPHN3	4	23	62363011	62936626	4410	1.66E-05	4.13E-05	3.46E-06	208	348	2	164.4880798	401.9524691	41.65444388	-2.103247253	1.316256871	6.086265231	0.999992531
ENST00000432593.3	TMPRSS11BNL	4	4	69056958	69083631	318	8.46E-07	2.27E-06	2.58E-07	1	3	0	0.363791683	0.894292604	0.106518243	-0.653916517	-1.089117331	0.323296946	0.315776901
ENST00000273853.6	CENPC	4	19	68338322	68411073	2832	9.19E-06	2.36E-05	2.60E-06	89	240	7	80.31828119	197.4725759	25.10092121	-0.600548439	-1.480239053	3.578866737	0.067117386
ENST00000309042.7	REST	4	3	57776804	57798318	3294	1.04E-05	2.83E-05	1.62E-06	151	340	2	119.158524	322.3052929	19.6422107	-1.808341523	-0.482087585	3.943187815	0.972672071
ENST00000273854.3	EPHA5	4	18	66189831	66535460	3114	1.23E-05	3.14E-05	2.36E-06	169	320	12	138.9568406	346.2908946	33.19836676	-1.579995154	0.691037165	3.644464656	0.00039007
ENST00000264230.4	NOA1	4	7	57829615	57843751	2097	1.31E-05	2.81E-05	1.60E-06	99	240	9	151.080967	321.1894393	21.04364307	2.626781225	2.215823623	2.600681034	0.000579557
