A1BG	alpha-1-B glycoprotein
C1orf233	chromosome 1 open reading frame 233
C1orf234	chromosome 1 open reading frame 234
C1QA	complement component 1, q subcomponent, A chain
C1QB	complement component 1, q subcomponent, B chain
C1QBP	complement component 1, q subcomponent binding protein
C1QBPP1	complement component 1, q subcomponent binding protein, pseudogene 1
C1QBPP2	complement component 1, q subcomponent binding protein, pseudogene 2
C1QBPP3	complement component 1, q subcomponent binding protein, pseudogene 3
C1QC	complement component 1, q subcomponent, C chain
C1QL1	complement component 1, q subcomponent-like 1
C1QL1P1	complement component 1, q subcomponent-like 1 pseudogene 1
C1QL2	complement component 1, q subcomponent-like 2
C1QL3	complement component 1, q subcomponent-like 3
C1QL4	complement component 1, q subcomponent-like 4
C1QTNF1	C1q and tumor necrosis factor related protein 1
C1QTNF1-AS1	C1QTNF1 antisense RNA 1
C1QTNF2	C1q and tumor necrosis factor related protein 2
C1QTNF3	C1q and tumor necrosis factor related protein 3
C1QTNF3-AMACR	C1QTNF3-AMACR readthrough (NMD candidate)
C1QTNF4	C1q and tumor necrosis factor related protein 4
C1QTNF5	C1q and tumor necrosis factor related protein 5
C1QTNF6	C1q and tumor necrosis factor related protein 6
C1QTNF7	C1q and tumor necrosis factor related protein 7
C1QTNF8	C1q and tumor necrosis factor related protein 8
C1QTNF9	C1q and tumor necrosis factor related protein 9
C1QTNF9-AS1	C1QTNF9 antisense RNA 1
C1QTNF9B	C1q and tumor necrosis factor related protein 9B
C1QTNF9B-AS1	C1QTNF9B antisense RNA 1
C1R	complement C1r subcomponent
C1RL	complement C1r subcomponent like
C1RL-AS1	C1RL antisense RNA 1
C1S	complement component 1, s subcomponent
C2	complement component 2
C2-AS1	C2 antisense RNA 1
C2CD2	C2 calcium-dependent domain containing 2
C2CD2L	C2CD2 like
C2CD3	C2 calcium-dependent domain containing 3
C2CD4A	C2 calcium-dependent domain containing 4A
C2CD4B	C2 calcium-dependent domain containing 4B
C2CD4C	C2 calcium-dependent domain containing 4C
C2CD4D	C2 calcium-dependent domain containing 4D
C2CD5	C2 calcium-dependent domain containing 5
C2orf15	chromosome 2 open reading frame 15
C2orf16	chromosome 2 open reading frame 16
C2orf27A	chromosome 2 open reading frame 27A
C2orf27AP1	chromosome 2 open reading frame 27A pseudogene 1
C2orf27AP2	chromosome 2 open reading frame 27A pseudogene 2
C2orf27AP3	chromosome 2 open reading frame 27A pseudogene 3
C2orf27B	chromosome 2 open reading frame 27B
C2orf40	chromosome 2 open reading frame 40
C2orf42	chromosome 2 open reading frame 42
C2orf44	chromosome 2 open reading frame 44
C2orf47	chromosome 2 open reading frame 47
C2orf48	chromosome 2 open reading frame 48
C2orf49	chromosome 2 open reading frame 49
C2orf50	chromosome 2 open reading frame 50
C2orf54	chromosome 2 open reading frame 54
C2orf57	chromosome 2 open reading frame 57
C2orf61	chromosome 2 open reading frame 61
C2orf66	chromosome 2 open reading frame 66
C2orf68	chromosome 2 open reading frame 68
C2orf69	chromosome 2 open reading frame 69
C2orf69P1	chromosome 2 open reading frame 69 pseudogene 1
C2orf69P2	chromosome 2 open reading frame 69 pseudogene 2
C2orf69P3	chromosome 2 open reading frame 69 pseudogene 3
C2orf69P4	chromosome 2 open reading frame 69 pseudogene 4
C2orf69P5	chromosome 2 open reading frame 69 pseudogene 5
C2orf70	chromosome 2 open reading frame 70
C2orf71	chromosome 2 open reading frame 71
C2orf72	chromosome 2 open reading frame 72
C2orf73	chromosome 2 open reading frame 73
C2orf74	chromosome 2 open reading frame 74
C2orf76	chromosome 2 open reading frame 76
C2orf78	chromosome 2 open reading frame 78
C2orf80	chromosome 2 open reading frame 80
C2orf81	chromosome 2 open reading frame 81
C2orf82	chromosome 2 open reading frame 82
C2orf83	chromosome 2 open reading frame 83
C2orf88	chromosome 2 open reading frame 88
C2orf91	chromosome 2 open reading frame 91
C3	complement component 3
C3AR1	complement component 3a receptor 1
C3CER1	chromosome 3 common eliminated region 1
C3orf14	chromosome 3 open reading frame 14
C3orf17	chromosome 3 open reading frame 17
C3orf18	chromosome 3 open reading frame 18
C3orf20	chromosome 3 open reading frame 20
C3orf22	chromosome 3 open reading frame 22
C3orf30	chromosome 3 open reading frame 30
C3orf33	chromosome 3 open reading frame 33
C3orf35	chromosome 3 open reading frame 35
C3orf36	chromosome 3 open reading frame 36
C3orf38	chromosome 3 open reading frame 38
C3orf49	chromosome 3 open reading frame 49
C3orf52	chromosome 3 open reading frame 52
C3orf56	chromosome 3 open reading frame 56
C3orf58	chromosome 3 open reading frame 58
C3orf62	chromosome 3 open reading frame 62
C3orf67	chromosome 3 open reading frame 67
C3orf67-AS1	C3orf67 antisense RNA 1
C3orf70	chromosome 3 open reading frame 70
C3orf79	chromosome 3 open reading frame 79
C3orf80	chromosome 3 open reading frame 80
C3orf84	chromosome 3 open reading frame 84
C3P1	complement component 3 precursor pseudogene
C4A	complement component 4A (Rodgers blood group)
C4A-AS1	C4A antisense RNA 1
C4B	complement component 4B (Chido blood group)
C4B-AS1	C4B antisense RNA 1
C4BPA	complement component 4 binding protein alpha
C4BPAP1	complement component 4 binding protein, alpha pseudogene 1
C4BPAP2	complement component 4 binding protein, alpha pseudogene 2
C4BPAP3	complement component 4 binding protein, alpha pseudogene 3
C4BPB	complement component 4 binding protein beta
C4B_2	complement component 4B (Chido blood group), copy 2
C4orf3	chromosome 4 open reading frame 3
C4orf17	chromosome 4 open reading frame 17
C4orf19	chromosome 4 open reading frame 19
C4orf22	chromosome 4 open reading frame 22
C4orf26	chromosome 4 open reading frame 26
C4orf27	chromosome 4 open reading frame 27
C4orf32	chromosome 4 open reading frame 32
C4orf33	chromosome 4 open reading frame 33
C4orf36	chromosome 4 open reading frame 36
C4orf45	chromosome 4 open reading frame 45
C4orf46	chromosome 4 open reading frame 46
C4orf47	chromosome 4 open reading frame 47
C4orf48	chromosome 4 open reading frame 48
C4orf50	chromosome 4 open reading frame 50
C4orf51	chromosome 4 open reading frame 51
C5	complement component 5
C5AR1	complement component 5a receptor 1
C5AR2	complement component 5a receptor 2
C5orf15	chromosome 5 open reading frame 15
C5orf17	chromosome 5 open reading frame 17
C5orf22	chromosome 5 open reading frame 22
C5orf24	chromosome 5 open reading frame 24
C5orf28	chromosome 5 open reading frame 28
C5orf30	chromosome 5 open reading frame 30
C5orf34	chromosome 5 open reading frame 34
C5orf38	chromosome 5 open reading frame 38
C5orf42	chromosome 5 open reading frame 42
C5orf45	chromosome 5 open reading frame 45
C5orf46	chromosome 5 open reading frame 46
C5orf47	chromosome 5 open reading frame 47
C5orf49	chromosome 5 open reading frame 49
C5orf51	chromosome 5 open reading frame 51
C5orf52	chromosome 5 open reading frame 52
C5orf56	chromosome 5 open reading frame 56
C5orf58	chromosome 5 open reading frame 58
C5orf60	chromosome 5 open reading frame 60
C5orf63	chromosome 5 open reading frame 63
C5orf64	chromosome 5 open reading frame 64
C5orf66	chromosome 5 open reading frame 66
C5orf66-AS1	C5orf66 antisense RNA 1
C5orf66-AS2	C5orf66 antisense RNA 2
C5orf67	chromosome 5 open reading frame 67
C6	complement component 6
C6orf1	chromosome 6 open reading frame 1
C6orf10	chromosome 6 open reading frame 10
C6orf15	chromosome 6 open reading frame 15
C6orf25	chromosome 6 open reading frame 25
C6orf47	chromosome 6 open reading frame 47
C6orf47-AS1	C6orf47 antisense RNA 1
C6orf48	chromosome 6 open reading frame 48
C6orf52	chromosome 6 open reading frame 52
C6orf58	chromosome 6 open reading frame 58
C6orf62	chromosome 6 open reading frame 62
C6orf89	chromosome 6 open reading frame 89
C6orf99	chromosome 6 open reading frame 99
C6orf106	chromosome 6 open reading frame 106
C6orf118	chromosome 6 open reading frame 118
C6orf120	chromosome 6 open reading frame 120
C6orf132	chromosome 6 open reading frame 132
C6orf136	chromosome 6 open reading frame 136
C6orf141	chromosome 6 open reading frame 141
C6orf163	chromosome 6 open reading frame 163
C6orf183	chromosome 6 open reading frame 183
C6orf201	chromosome 6 open reading frame 201
C6orf203	chromosome 6 open reading frame 203
C6orf222	chromosome 6 open reading frame 222
C6orf223	chromosome 6 open reading frame 223
C6orf226	chromosome 6 open reading frame 226
C6orf229	chromosome 6 open reading frame 229
C7	complement component 7
C7orf25	chromosome 7 open reading frame 25
C7orf26	chromosome 7 open reading frame 26
C7orf31	chromosome 7 open reading frame 31
C7orf33	chromosome 7 open reading frame 33
C7orf34	chromosome 7 open reading frame 34
C7orf43	chromosome 7 open reading frame 43
C7orf49	chromosome 7 open reading frame 49
C7orf50	chromosome 7 open reading frame 50
C7orf55	chromosome 7 open reading frame 55
C7orf55-LUC7L2	C7orf55-LUC7L2 readthrough
C7orf57	chromosome 7 open reading frame 57
C7orf60	chromosome 7 open reading frame 60
C7orf61	chromosome 7 open reading frame 61
C7orf62	chromosome 7 open reading frame 62
C7orf65	chromosome 7 open reading frame 65
C7orf66	chromosome 7 open reading frame 66
C7orf69	chromosome 7 open reading frame 69
C7orf71	chromosome 7 open reading frame 71
C7orf72	chromosome 7 open reading frame 72
C7orf73	chromosome 7 open reading frame 73
C7orf76	chromosome 7 open reading frame 76
C7orf77	chromosome 7 open reading frame 77
C8A	complement component 8 alpha subunit
C8B	complement component 8, beta polypeptide
C8G	complement component 8, gamma polypeptide
C8orf4	chromosome 8 open reading frame 4
C8orf17	chromosome 8 open reading frame 17
C8orf22	chromosome 8 open reading frame 22
C8orf31	chromosome 8 open reading frame 31
C8orf33	chromosome 8 open reading frame 33
C8orf34	chromosome 8 open reading frame 34
C8orf34-AS1	C8orf34 antisense RNA 1
C8orf37	chromosome 8 open reading frame 37
C8orf37-AS1	C8orf37 antisense RNA 1
C8orf44	chromosome 8 open reading frame 44
C8orf44-SGK3	C8orf44-SGK3 readthrough
C8orf46	chromosome 8 open reading frame 46
C8orf48	chromosome 8 open reading frame 48
C8orf49	chromosome 8 open reading frame 49
C8orf58	chromosome 8 open reading frame 58
C8orf59	chromosome 8 open reading frame 59
C8orf59P1	chromosome 8 open reading frame 59 pseudogene 1
C8orf59P2	chromosome 8 open reading frame 59 pseudogene 2
C8orf74	chromosome 8 open reading frame 74
C8orf76	chromosome 8 open reading frame 76
C8orf82	chromosome 8 open reading frame 82
C8orf86	chromosome 8 open reading frame 86
C8orf87	chromosome 8 open reading frame 87
C8orf88	chromosome 8 open reading frame 88
C8orf89	chromosome 8 open reading frame 89
C9	complement component 9
C9orf3	chromosome 9 open reading frame 3
C9orf9	chromosome 9 open reading frame 9
C9orf16	chromosome 9 open reading frame 16
C9orf24	chromosome 9 open reading frame 24
C9orf40	chromosome 9 open reading frame 40
C9orf41-AS1	C9orf41 antisense RNA 1
C9orf43	chromosome 9 open reading frame 43
C9orf47	chromosome 9 open reading frame 47
C9orf50	chromosome 9 open reading frame 50
C9orf57	chromosome 9 open reading frame 57
C9orf62	chromosome 9 open reading frame 62
C9orf64	chromosome 9 open reading frame 64
C9orf66	chromosome 9 open reading frame 66
C9orf69	chromosome 9 open reading frame 69
C9orf72	chromosome 9 open reading frame 72
C9orf78	chromosome 9 open reading frame 78
C9orf84	chromosome 9 open reading frame 84
C9orf85	chromosome 9 open reading frame 85
C9orf91	chromosome 9 open reading frame 91
C9orf92	chromosome 9 open reading frame 92
C9orf106	chromosome 9 open reading frame 106
C9orf114	chromosome 9 open reading frame 114
C9orf116	chromosome 9 open reading frame 116
C9orf118	chromosome 9 open reading frame 118
C9orf129	chromosome 9 open reading frame 129
C9orf131	chromosome 9 open reading frame 131
C9orf135	chromosome 9 open reading frame 135
C9orf135-AS1	C9orf135 antisense RNA 1 (head to head)
C9orf139	chromosome 9 open reading frame 139
C9orf142	chromosome 9 open reading frame 142
C9orf147	chromosome 9 open reading frame 147
C9orf152	chromosome 9 open reading frame 152
C9orf153	chromosome 9 open reading frame 153
C9orf163	chromosome 9 open reading frame 163
C9orf170	chromosome 9 open reading frame 170
C9orf172	chromosome 9 open reading frame 172
C9orf173	chromosome 9 open reading frame 173
C9orf173-AS1	C9orf173 antisense RNA 1
C10orf2	chromosome 10 open reading frame 2
C10orf10	chromosome 10 open reading frame 10
C10orf11	chromosome 10 open reading frame 11
C10orf12	chromosome 10 open reading frame 12
C10orf25	chromosome 10 open reading frame 25
C10orf35	chromosome 10 open reading frame 35
C10orf53	chromosome 10 open reading frame 53
C10orf54	chromosome 10 open reading frame 54
C10orf55	chromosome 10 open reading frame 55
C10orf62	chromosome 10 open reading frame 62
C10orf67	chromosome 10 open reading frame 67
C10orf71	chromosome 10 open reading frame 71
C10orf71-AS1	C10orf71 antisense RNA 1
C10orf76	chromosome 10 open reading frame 76
C10orf82	chromosome 10 open reading frame 82
C10orf88	chromosome 10 open reading frame 88
C10orf90	chromosome 10 open reading frame 90
C10orf91	chromosome 10 open reading frame 91
C10orf95	chromosome 10 open reading frame 95
C10orf99	chromosome 10 open reading frame 99
C10orf105	chromosome 10 open reading frame 105
C10orf107	chromosome 10 open reading frame 107
C10orf111	chromosome 10 open reading frame 111
C10orf113	chromosome 10 open reading frame 113
C10orf120	chromosome 10 open reading frame 120
C10orf126	chromosome 10 open reading frame 126
C10orf128	chromosome 10 open reading frame 128
C10orf131	chromosome 10 open reading frame 131
C10orf142	chromosome 10 open reading frame 142
C11orf1	chromosome 11 open reading frame 1
C11orf16	chromosome 11 open reading frame 16
C11orf21	chromosome 11 open reading frame 21
C11orf24	chromosome 11 open reading frame 24
C11orf31	chromosome 11 open reading frame 31
C11orf40	chromosome 11 open reading frame 40
C11orf42	chromosome 11 open reading frame 42
C11orf44	chromosome 11 open reading frame 44
C11orf45	chromosome 11 open reading frame 45
C11orf49	chromosome 11 open reading frame 49
C11orf52	chromosome 11 open reading frame 52
C11orf53	chromosome 11 open reading frame 53
C11orf54	chromosome 11 open reading frame 54
C11orf57	chromosome 11 open reading frame 57
C11orf58	chromosome 11 open reading frame 58
C11orf63	chromosome 11 open reading frame 63
C11orf65	chromosome 11 open reading frame 65
C11orf68	chromosome 11 open reading frame 68
C11orf70	chromosome 11 open reading frame 70
C11orf71	chromosome 11 open reading frame 71
C11orf72	chromosome 11 open reading frame 72
C11orf73	chromosome 11 open reading frame 73
C11orf74	chromosome 11 open reading frame 74
C11orf80	chromosome 11 open reading frame 80
C11orf84	chromosome 11 open reading frame 84
C11orf85	chromosome 11 open reading frame 85
C11orf86	chromosome 11 open reading frame 86
C11orf87	chromosome 11 open reading frame 87
C11orf88	chromosome 11 open reading frame 88
C11orf91	chromosome 11 open reading frame 91
C11orf94	chromosome 11 open reading frame 94
C11orf95	chromosome 11 open reading frame 95
C11orf96	chromosome 11 open reading frame 96
C11orf97	chromosome 11 open reading frame 97
C11orf98	chromosome 11 open reading frame 98
C11orf98P1	chromosome 11 open reading frame 98 pseudogene 1
C12orf4	chromosome 12 open reading frame 4
C12orf10	chromosome 12 open reading frame 10
C12orf29	chromosome 12 open reading frame 29
C12orf40	chromosome 12 open reading frame 40
C12orf42	chromosome 12 open reading frame 42
C12orf43	chromosome 12 open reading frame 43
C12orf45	chromosome 12 open reading frame 45
C12orf49	chromosome 12 open reading frame 49
C12orf50	chromosome 12 open reading frame 50
C12orf54	chromosome 12 open reading frame 54
C12orf56	chromosome 12 open reading frame 56
C12orf57	chromosome 12 open reading frame 57
C12orf60	chromosome 12 open reading frame 60
C12orf65	chromosome 12 open reading frame 65
C12orf66	chromosome 12 open reading frame 66
C12orf71	chromosome 12 open reading frame 71
C12orf73	chromosome 12 open reading frame 73
C12orf74	chromosome 12 open reading frame 74
C12orf75	chromosome 12 open reading frame 75
C12orf76	chromosome 12 open reading frame 76
C12orf77	chromosome 12 open reading frame 77
C12orf80	chromosome 12 open reading frame 80
C14orf1	chromosome 14 open reading frame 1
C14orf2	chromosome 14 open reading frame 2
C14orf28	chromosome 14 open reading frame 28
C14orf37	chromosome 14 open reading frame 37
C14orf39	chromosome 14 open reading frame 39
C14orf79	chromosome 14 open reading frame 79
C14orf80	chromosome 14 open reading frame 80
C14orf93	chromosome 14 open reading frame 93
C14orf105	chromosome 14 open reading frame 105
C14orf119	chromosome 14 open reading frame 119
C14orf132	chromosome 14 open reading frame 132
C14orf142	chromosome 14 open reading frame 142
C14orf144	chromosome 14 open reading frame 144
C14orf159	chromosome 14 open reading frame 159
C14orf166	chromosome 14 open reading frame 166
C14orf169	chromosome 14 open reading frame 169
C14orf177	chromosome 14 open reading frame 177
C14orf178	chromosome 14 open reading frame 178
C14orf180	chromosome 14 open reading frame 180
C15orf32	chromosome 15 open reading frame 32
C15orf38-AP3S2	C15orf38-AP3S2 readthrough
C15orf39	chromosome 15 open reading frame 39
C15orf40	chromosome 15 open reading frame 40
C15orf41	chromosome 15 open reading frame 41
C15orf43	chromosome 15 open reading frame 43
C15orf48	chromosome 15 open reading frame 48
C15orf52	chromosome 15 open reading frame 52
C15orf53	chromosome 15 open reading frame 53
C15orf54	chromosome 15 open reading frame 54
C15orf56	chromosome 15 open reading frame 56
C15orf57	chromosome 15 open reading frame 57
C15orf59	chromosome 15 open reading frame 59
C15orf59-AS1	C15orf59 antisense RNA 1
C15orf61	chromosome 15 open reading frame 61
C15orf62	chromosome 15 open reading frame 62
C15orf65	chromosome 15 open reading frame 65
C16orf13	chromosome 16 open reading frame 13
C16orf45	chromosome 16 open reading frame 45
C16orf46	chromosome 16 open reading frame 46
C16orf47	chromosome 16 open reading frame 47
C16orf52	chromosome 16 open reading frame 52
C16orf54	chromosome 16 open reading frame 54
C16orf58	chromosome 16 open reading frame 58
C16orf59	chromosome 16 open reading frame 59
C16orf62	chromosome 16 open reading frame 62
C16orf70	chromosome 16 open reading frame 70
C16orf71	chromosome 16 open reading frame 71
C16orf72	chromosome 16 open reading frame 72
C16orf74	chromosome 16 open reading frame 74
C16orf78	chromosome 16 open reading frame 78
C16orf82	chromosome 16 open reading frame 82
C16orf86	chromosome 16 open reading frame 86
C16orf87	chromosome 16 open reading frame 87
C16orf89	chromosome 16 open reading frame 89
C16orf90	chromosome 16 open reading frame 90
C16orf91	chromosome 16 open reading frame 91
C16orf92	chromosome 16 open reading frame 92
C16orf95	chromosome 16 open reading frame 95
C16orf96	chromosome 16 open reading frame 96
C16orf97	chromosome 16 open reading frame 97
C17orf47	chromosome 17 open reading frame 47
C17orf49	chromosome 17 open reading frame 49
C17orf50	chromosome 17 open reading frame 50
C17orf51	chromosome 17 open reading frame 51
C17orf53	chromosome 17 open reading frame 53
C17orf58	chromosome 17 open reading frame 58
C17orf62	chromosome 17 open reading frame 62
C17orf64	chromosome 17 open reading frame 64
C17orf67	chromosome 17 open reading frame 67
C17orf74	chromosome 17 open reading frame 74
C17orf75	chromosome 17 open reading frame 75
C17orf77	chromosome 17 open reading frame 77
C17orf78	chromosome 17 open reading frame 78
C17orf80	chromosome 17 open reading frame 80
C17orf82	chromosome 17 open reading frame 82
C17orf89	chromosome 17 open reading frame 89
C17orf96	chromosome 17 open reading frame 96
C17orf97	chromosome 17 open reading frame 97
C17orf98	chromosome 17 open reading frame 98
C17orf99	chromosome 17 open reading frame 99
C17orf100	chromosome 17 open reading frame 100
C17orf102	chromosome 17 open reading frame 102
C17orf105	chromosome 17 open reading frame 105
C17orf107	chromosome 17 open reading frame 107
C17orf112	chromosome 17 open reading frame 112
C18orf8	chromosome 18 open reading frame 8
C18orf12	chromosome 18 open reading frame 12
C18orf15	chromosome 18 open reading frame 15
C18orf21	chromosome 18 open reading frame 21
C18orf25	chromosome 18 open reading frame 25
C18orf32	chromosome 18 open reading frame 32
C18orf42	chromosome 18 open reading frame 42
C18orf54	chromosome 18 open reading frame 54
C18orf63	chromosome 18 open reading frame 63
C18orf65	chromosome 18 open reading frame 65
C19orf12	chromosome 19 open reading frame 12
C19orf18	chromosome 19 open reading frame 18
C19orf24	chromosome 19 open reading frame 24
C19orf25	chromosome 19 open reading frame 25
C19orf33	chromosome 19 open reading frame 33
C19orf35	chromosome 19 open reading frame 35
C19orf38	chromosome 19 open reading frame 38
C19orf43	chromosome 19 open reading frame 43
C19orf44	chromosome 19 open reading frame 44
C19orf45	chromosome 19 open reading frame 45
C19orf47	chromosome 19 open reading frame 47
C19orf48	chromosome 19 open reading frame 48
C19orf52	chromosome 19 open reading frame 52
C19orf53	chromosome 19 open reading frame 53
C19orf54	chromosome 19 open reading frame 54
C19orf57	chromosome 19 open reading frame 57
C19orf60	chromosome 19 open reading frame 60
C19orf66	chromosome 19 open reading frame 66
C19orf67	chromosome 19 open reading frame 67
C19orf68	chromosome 19 open reading frame 68
C19orf70	chromosome 19 open reading frame 70
C19orf71	chromosome 19 open reading frame 71
C19orf73	chromosome 19 open reading frame 73
C19orf81	chromosome 19 open reading frame 81
C19orf84	chromosome 19 open reading frame 84
C20orf24	chromosome 20 open reading frame 24
C20orf27	chromosome 20 open reading frame 27
C20orf78	chromosome 20 open reading frame 78
C20orf85	chromosome 20 open reading frame 85
C20orf96	chromosome 20 open reading frame 96
C20orf141	chromosome 20 open reading frame 141
C20orf144	chromosome 20 open reading frame 144
C20orf166-AS1	C20orf166 antisense RNA 1
C20orf173	chromosome 20 open reading frame 173
C20orf181	chromosome 20 open reading frame 181
C20orf187	chromosome 20 open reading frame 187
C20orf194	chromosome 20 open reading frame 194
C20orf195	chromosome 20 open reading frame 195
C20orf196	chromosome 20 open reading frame 196
C20orf197	chromosome 20 open reading frame 197
C20orf202	chromosome 20 open reading frame 202
C20orf203	chromosome 20 open reading frame 203
C21orf2	chromosome 21 open reading frame 2
C21orf33	chromosome 21 open reading frame 33
C21orf58	chromosome 21 open reading frame 58
C21orf59	chromosome 21 open reading frame 59
C21orf62	chromosome 21 open reading frame 62
C21orf62-AS1	C21orf62 antisense RNA 1
C21orf91	chromosome 21 open reading frame 91
C21orf91-OT1	C21orf91 overlapping transcript 1
C21orf140	chromosome 21 open reading frame 140
C22orf15	chromosome 22 open reading frame 15
C22orf23	chromosome 22 open reading frame 23
C22orf24	chromosome 22 open reading frame 24
C22orf29	chromosome 22 open reading frame 29
C22orf31	chromosome 22 open reading frame 31
C22orf34	chromosome 22 open reading frame 34
C22orf39	chromosome 22 open reading frame 39
C22orf42	chromosome 22 open reading frame 42
C22orf46	chromosome 22 open reading frame 46
CA1	carbonic anhydrase 1
CA2	carbonic anhydrase 2
CA3	carbonic anhydrase 3
CA3-AS1	CA3 antisense RNA 1
CA4	carbonic anhydrase 4
CA5A	carbonic anhydrase 5A
CA5AP1	carbonic anhydrase 5A pseudogene 1
CA5B	carbonic anhydrase 5B
CA5BP1	carbonic anhydrase 5B pseudogene 1
CA6	carbonic anhydrase 6
CA7	carbonic anhydrase 7
CA8	carbonic anhydrase 8
CA9	carbonic anhydrase 9
CA10	carbonic anhydrase 10
CA11	carbonic anhydrase 11
CA12	carbonic anhydrase 12
CA13	carbonic anhydrase 13
CA14	carbonic anhydrase 14
CA15P1	carbonic anhydrase 15 pseudogene 1
CA15P2	carbonic anhydrase 15 pseudogene 2
CA15P3	carbonic anhydrase 15 pseudogene 3
CAAP1	caspase activity and apoptosis inhibitor 1
CAB39	calcium binding protein 39
CAB39L	calcium binding protein 39 like
CAB39P1	calcium binding protein 39 pseudogene 1
CABIN1	calcineurin binding protein 1
CABLES1	Cdk5 and Abl enzyme substrate 1
CABLES2	Cdk5 and Abl enzyme substrate 2
CABP1	calcium binding protein 1
CABP2	calcium binding protein 2
CABP4	calcium binding protein 4
CABP5	calcium binding protein 5
CABP7	calcium binding protein 7
CABS1	calcium binding protein, spermatid associated 1
CABYR	calcium binding tyrosine phosphorylation regulated
CABYRP1	calcium binding tyrosine phosphorylation regulated pseudogene 1
CACD	central areolar choroidal dystrophy
CACFD1	calcium channel flower domain containing 1
CACHD1	cache domain containing 1
CACNA1A	calcium voltage-gated channel subunit alpha1 A
CACNA1B	calcium voltage-gated channel subunit alpha1 B
CACNA1C	calcium voltage-gated channel subunit alpha1 C
CACNA1C-AS1	CACNA1C antisense RNA 1
CACNA1C-AS2	CACNA1C antisense RNA 2
CACNA1C-AS3	CACNA1C antisense RNA 3
CACNA1C-AS4	CACNA1C antisense RNA 4
CACNA1C-IT1	CACNA1C intronic transcript 1
CACNA1C-IT2	CACNA1C intronic transcript 2
CACNA1C-IT3	CACNA1C intronic transcript 3
CACNA1D	calcium voltage-gated channel subunit alpha1 D
CACNA1E	calcium voltage-gated channel subunit alpha1 E
CACNA1F	calcium voltage-gated channel subunit alpha1 F
CACNA1G	calcium voltage-gated channel subunit alpha1 G
CACNA1G-AS1	CACNA1G antisense RNA 1
CACNA1H	calcium voltage-gated channel subunit alpha1 H
CACNA1I	calcium voltage-gated channel subunit alpha1 I
CACNA1S	calcium voltage-gated channel subunit alpha1 S
CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1
CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3
CACNA2D3-AS1	CACNA2D3 antisense RNA 1
CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4
CACNB1	calcium voltage-gated channel auxiliary subunit beta 1
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2
CACNB3	calcium voltage-gated channel auxiliary subunit beta 3
CACNB4	calcium voltage-gated channel auxiliary subunit beta 4
CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1
CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2
CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3
CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4
CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5
CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6
CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7
CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8
CACTIN	cactin, spliceosome C complex subunit
CACTIN-AS1	CACTIN antisense RNA 1
CACUL1	CDK2 associated cullin domain 1
CACYBP	calcyclin binding protein
CACYBPP1	calcyclin binding protein pseudogene 1
CACYBPP2	calcyclin binding protein pseudogene 2
CACYBPP3	calcyclin binding protein pseudogene 3
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CADM1	cell adhesion molecule 1
CADM2	cell adhesion molecule 2
CADM2-AS1	CADM2 antisense RNA 1
CADM2-AS2	CADM2 antisense RNA 2
CADM3	cell adhesion molecule 3
CADM3-AS1	CADM3 antisense RNA 1
CADM4	cell adhesion molecule 4
CADPS	Ca2+ dependent secretion activator
CADPS2	Ca2+ dependent secretion activator 2
CAGE1	cancer antigen 1
CAHM	colon adenocarcinoma hypermethylated (non-protein coding)
CALB1	calbindin 1
CALB2	calbindin 2
CALCA	calcitonin related polypeptide alpha
CALCB	calcitonin related polypeptide beta
CALCOCO1	calcium binding and coiled-coil domain 1
CALCOCO2	calcium binding and coiled-coil domain 2
CALCP	calcitonin pseudogene
CALCR	calcitonin receptor
CALCRL	calcitonin receptor like receptor
CALD1	caldesmon 1
CALHM1	calcium homeostasis modulator 1
CALHM2	calcium homeostasis modulator 2
CALHM3	calcium homeostasis modulator 3
CALM1	calmodulin 1 (phosphorylase kinase, delta)
CALM1P1	calmodulin 1 (phosphorylase kinase, delta) pseudogene 1
CALM1P2	calmodulin 1 (phosphorylase kinase, delta) pseudogene 2
CALM2	calmodulin 2 (phosphorylase kinase, delta)
CALM2P1	calmodulin 2 pseudogene 1
CALM2P2	calmodulin 2 pseudogene 2
CALM2P3	calmodulin 2 pseudogene 3
CALM2P4	calmodulin 2 pseudogene 4
CALM3	calmodulin 3 (phosphorylase kinase, delta)
CALML3	calmodulin like 3
CALML3-AS1	CALML3 antisense RNA 1
CALML4	calmodulin like 4
CALML5	calmodulin like 5
CALML6	calmodulin like 6
CALN1	calneuron 1
CALR	calreticulin
CALR3	calreticulin 3
CALR4P	calreticulin 4, pseudogene
