accession_number	gene	all_gene_names
P41134	ID1	ID1
P51659	HSD17B4	HSD17B4
P0CAT3	TLX1NB	TLX1NB
P23219	PTGS1	PTGS1
Q99536	VAT1	VAT1
P21980	TGM2	TGM2
Q63HN1	FAM205BP	FAM205BP
Q8IZ26	ZNF34	ZNF34
Q9BUF5	TUBB6	TUBB6
Q9NUV7	SPTLC3	SPTLC3
Q9Y580	RBM7	RBM7
Q99538	LGMN	LGMN
Q9H4T2	ZSCAN16	ZSCAN16
P07942	LAMB1	LAMB1
Q9Y581	INSL6	INSL6
A4D2H0	CTAGE15	CTAGE15
Q8N9R6	CDRT4	CDRT4
Q8N1B3	CCNQ	CCNQ
Q8N1B4	VPS52	VPS52
Q9NUV9	GIMAP4	GIMAP4
Q9BUF7	CRB3	CRB3
Q8N9R8	SCAI	SCAI
Q9Y584	TIMM22	TIMM22
Q86XD5	FAM131B	FAM131B
O43861	ATP9B	ATP9B
P27105	STOM	STOM
Q9Y585	OR1A2	OR1A2
P60842	EIF4A1	EIF4A1
P07947	YES1	YES1
Q63HN8	RNF213	RNF213
Q8IXK0	PHC2	PHC2
Q9Y586	MAB21L2	MAB21L2
Q86XD8	ZFAND4	ZFAND4
P11464	PSG1	PSG1
O95336	PGLS	PGLS
P07948	LYN	LYN
P38484	IFNGR2	IFNGR2
Q9Y587	AP4S1	AP4S1
P07949	RET	RET
P11465	PSG2	PSG2
Q4G148	GXYLT1	GXYLT1
Q8IXK2	GALNT12	GALNT12
O43865	AHCYL1	AHCYL1
Q6WQI6	HEPN1	HEPN1
Q5JTY5	CBWD3	CBWD3
O43866	CD5L	CD5L
Q9UKU0	ACSL6	ACSL6
O43868	SLC28A2	SLC28A2
O15427	SLC16A3	SLC16A3
A8MYU2	KCNU1	KCNU1
Q14410	GK2	GK2
O15428	PIN1P1	PIN1P1
O43869	OR2T1	OR2T1
Q9Y3Q0	NAALAD2	NAALAD2
Q8NHE4	ATP6V0E2	ATP6V0E2
Q9HCG1	ZNF160	ZNF160
Q00013	MPP1	MPP1
Q9Y3Q3	TMED3	TMED3
P02730	SLC4A1	SLC4A1
Q9UKU6	TRHDE	TRHDE
Q9Y3Q4	HCN4	HCN4
Q8WX77	IGFBPL1	IGFBPL1
Q14416	GRM2	GRM2
Q9UKU7	ACAD8	ACAD8
Q9P2Q2	FRMD4A	FRMD4A
Q9HCG7	GBA2	GBA2
Q9Y3Q7	ADAM18	ADAM18
Q9UKU9	ANGPTL2	ANGPTL2
Q9Y3Q8	TSC22D4	TSC22D4
Q9HCG8	CWC22	CWC22
Q9NZR1	TMOD2	TMOD2
Q9NZR2	LRP1B	LRP1B
Q7Z340	ZNF551	ZNF551
Q9NZR4	VSX1	VSX1
Q8WVP5	TNFAIP8L1	TNFAIP8L1
Q96AH0	NABP1	NABP1
Q9NRB3	CHST12	CHST12
Q6IF82	OR4A47	OR4A47
A0A0U1RQF7	DPEP2NB	DPEP2NB
P54219	SLC18A1	SLC18A1
Q15283	RASA2	RASA2
Q8WVP7	LMBR1	LMBR1
Q9H9P2	CHODL	CHODL
Q96IX5	ATP5MD	ATP5MD
Q9BZB8	CPEB1	CPEB1
Q9H9P5	UNKL	UNKL
Q15286	RAB35	RAB35
P0C604	OR4A8	OR4A8
Q9BR26	OCSTAMP	OCSTAMP
Q86U02	LINC00596	LINC00596
Q15287	RNPS1	RNPS1
Q96IX9	ANKRD36BP1	ANKRD36BP1
A7MD48	SRRM4	SRRM4
Q96AH8	RAB7B	RAB7B
Q9H9P8	L2HGDH	L2HGDH
P10144	GZMB	GZMB
Q99081	TCF12	TCF12
Q86U06	RBM23	RBM23
Q5SRE5	NUP188	NUP188
P55081	MFAP1	MFAP1
Q6ZUU3	FOXL2NB	FOXL2NB
P10145	CXCL8	CXCL8
P11926	ODC1	ODC1
P55082	MFAP3	MFAP3
Q5SRE7	PHYHD1	PHYHD1
P55083	MFAP4	MFAP4
Q9UPQ0	LIMCH1	LIMCH1
P10147	CCL3	CCL3
Q53HI1	UNC50	UNC50
Q49MG5	MAP9	MAP9
P55084	HADHB	HADHB
P58107	EPPK1	EPPK1
P55085	F2RL1	F2RL1
A7MBM2	DISP2	DISP2
Q9UPQ3	AGAP1	AGAP1
Q9UPQ4	TRIM35	TRIM35
A6NG13	MGAT4D	MGAT4D
A8MVA2	KRTAP9-6	KRTAP9-6
P55087	AQP4	AQP4
Q9UHA2	SS18L2	SS18L2
Q93008	USP9X	USP9X
P55089	UCN	UCN
Q9UHA3	RSL24D1	RSL24D1
P07492	GRP	GRP
Q8TE96	DQX1	DQX1
Q8N4W6	DNAJC22	DNAJC22
B1AJZ1	C1orf196	C1orf196
Q93009	USP7	USP7
Q9UPQ7	PDZRN3	PDZRN3
Q9UHA4	LAMTOR3	LAMTOR3
P15812	CD1E	CD1E
Q7L8C5	SYT13	SYT13
Q9UPQ8	DOLK	DOLK
Q5T197	DCST1	DCST1
P15813	CD1D	CD1D
Q8N4W9	ZNF808	ZNF808
Q9UPQ9	TNRC6B	TNRC6B
Q8TE99	PXYLP1	PXYLP1
Q8NE18	NSUN7	NSUN7
P15814	IGLL1	IGLL1
Q9UHA7	IL36A	IL36A
A6NMZ2	SNTN	SNTN
P07498	CSN3	CSN3
Q86SI9	C5orf38	C5orf38
B1AJZ9	FHAD1	FHAD1
A8MTZ0	BBIP1	BBIP1
Q96NT0	CCDC115	CCDC115
A6NMZ5	OR4C45	OR4C45
Q96NT1	NAP1L5	NAP1L5
Q96NT3	GUCD1	GUCD1
A6NMZ7	COL6A6	COL6A6
Q8NCJ5	SPRYD3	SPRYD3
Q15742	NAB2	NAB2
Q96NT5	SLC46A1	SLC46A1
Q15743	GPR68	GPR68
Q01344	IL5RA	IL5RA
Q15744	CEBPE	CEBPE
P10600	TGFB3	TGFB3
A8MTZ7	C12orf71	C12orf71
Q5SWA1	PPP1R15B	PPP1R15B
Q15746	MYLK	MYLK
P05305	EDN1	EDN1
P51665	PSMD7	PSMD7
Q99541	PLIN2	PLIN2
O60921	HUS1	HUS1
Q32MK0	MYLK3	MYLK3
Q99542	MMP19	MMP19
P10606	COX5B	COX5B
P51668	UBE2D1	UBE2D1
P41143	OPRD1	OPRD1
Q99543	DNAJC2	DNAJC2
Q5VVQ6	YOD1	YOD1
O60925	PFDN1	PFDN1
P41145	OPRK1	OPRK1
P23229	ITGA6	ITGA6
Q7Z6I5	SPATA12	SPATA12
P41146	OPRL1	OPRL1
Q86XE0	SNX32	SNX32
O60927	PPP1R11	PPP1R11
Q5T653	MRPL2	MRPL2
Q99547	MPHOSPH6	MPHOSPH6
Q7Z6I6	ARHGAP30	ARHGAP30
P07951	TPM2	TPM2
O60928	KCNJ13	KCNJ13
Q9BUG6	ZSCAN5A	ZSCAN5A
Q9NUW8	TDP1	TDP1
O95340	PAPSS2	PAPSS2
Q99549	MPHOSPH8	MPHOSPH8
Q8N1C3	GABRG1	GABRG1
Q5T655	CFAP58	CFAP58
Q7Z6I8	C5orf24	C5orf24
A0A0J9YWP8	TRBJ1-3	TRBJ1-3
Q86XE3	MICU3	MICU3
Q9Y592	CEP83	CEP83
P07954	FH	FH
O95342	ABCB11	ABCB11
Q8N9S9	SNX31	SNX31
O95343	SIX3	SIX3
Q86XE5	HOGA1	HOGA1
P60852	ZP1	ZP1
O15431	SLC31A1	SLC31A1
P11473	VDR	VDR
O15432	SLC31A2	SLC31A2
P25874	UCP1	UCP1
Q9Y597	KCTD3	KCTD3
P11474	ESRRA	ESRRA
O95347	SMC2	SMC2
Q6UXP3	TMEM14EP	TMEM14EP
Q3V5L5	MGAT5B	MGAT5B
A8MYV0	DCDC2C	DCDC2C
Q5JTZ5	C9orf152	C9orf152
Q6PID6	TTC33	TTC33
Q9UKV0	HDAC9	HDAC9
P32418	SLC8A1	SLC8A1
Q9HCH0	NCKAP5L	NCKAP5L
P82650	MRPS22	MRPS22
Q6PID8	KLHDC10	KLHDC10
Q9Y3R0	GRIP1	GRIP1
Q8IXL6	FAM20C	FAM20C
O15438	ABCC3	ABCC3
A3KN83	SBNO1	SBNO1
Q8IXL7	MSRB3	MSRB3
Q6UXP7	FAM151B	FAM151B
Q5JTZ9	AARS2	AARS2
O15439	ABCC4	ABCC4
Q9UKV3	ACIN1	ACIN1
P50336	PPOX	PPOX
Q96C00	ZBTB9	ZBTB9
Q01804	OTUD4	OTUD4
Q8IXL9	IQCF2	IQCF2
Q9HCH3	CPNE5	CPNE5
Q9UKV5	AMFR	AMFR
Q9Y3R4	NEU2	NEU2
Q96C01	FAM136A	FAM136A
P02741	CRP	CRP
Q9HCH5	SYTL2	SYTL2
Q9Y3R5	DOP1B	DOP1B
P29762	CRABP1	CRABP1
Q96C03	MIEF2	MIEF2
P0DP71	FAM236C	FAM236C
P02743	APCS	APCS
Q9UKV8	AGO2	AGO2
P0DP72	VSIG10L2	VSIG10L2
Q07889	SOS1	SOS1
Q9P2R3	ANKFY1	ANKFY1
P0DP73	DEFB130B	DEFB130B
F2Z3F1	C5orf67	C5orf67
P02745	C1QA	C1QA
P0DP74	DEFB130A	DEFB130A
P02746	C1QB	C1QB
Q9P2R6	RERE	RERE
P0DP75	MED14OS	MED14OS
P02747	C1QC	C1QC
Q9P2R7	SUCLA2	SUCLA2
Q9NZS2	KLRF1	KLRF1
Q8WVQ1	CANT1	CANT1
P02748	C9	C9
Q9BZC1	CELF4	CELF4
P02749	APOH	APOH
Q9NRC1	ST7	ST7
O76100	OR7A10	OR7A10
Q96IY1	NSL1	NSL1
Q15291	RBBP5	RBBP5
P20671	HIST1H2AD	HIST1H2AD
Q7Z353	HDX	HDX
Q6VVX0	CYP2R1	CYP2R1
Q96IY4	CPB2	CPB2
Q15293	RCN1	RCN1
O95800	GPR75	GPR75
Q9H9Q2	COPS7B	COPS7B
O95801	TTC4	TTC4
Q9NRC6	SPTBN5	SPTBN5
O60462	NRP2	NRP2
P20674	COX5A	COX5A
Q9BZC7	ABCA2	ABCA2
Q86U10	ASPG	ASPG
Q9NZS9	BFAR	BFAR
Q9H9Q4	NHEJ1	NHEJ1
Q9NRC8	SIRT7	SIRT7
O95803	NDST3	NDST3
Q9NRC9	OTOR	OTOR
Q9H1A3	METTL9	METTL9
P19256	CD58	CD58
P37173	TGFBR2	TGFBR2
P10153	RNASE2	RNASE2
Q9H1A4	ANAPC1	ANAPC1
P0C617	OR5AL1	OR5AL1
Q6IF99	OR10K2	OR10K2
Q9BR39	JPH2	JPH2
O95807	TMEM50A	TMEM50A
P10155	RO60	RO60
Q8IU80	TMPRSS6	TMPRSS6
Q86U17	SERPINA11	SERPINA11
Q9H1A7	POLR2J3	POLR2J3
O60469	DSCAM	DSCAM
P24557	TBXAS1	TBXAS1
Q9UPR0	PLCL2	PLCL2
Q8IU81	IRF2BP1	IRF2BP1
Q6PF04	ZNF613	ZNF613
Q6PF05	TTC23L	TTC23L
Q6PF06	TRMT10B	TRMT10B
Q9UPR3	SMG5	SMG5
Q8NE22	SETD9	SETD9
Q93015	NAA80	NAA80
Q13103	SPP2	SPP2
Q5JQF7	LINC01556	LINC01556
Q8IU85	CAMK1D	CAMK1D
Q9UPR5	SLC8A2	SLC8A2
Q5JQF8	PABPC1L2A	PABPC1L2A|PABPC1L2B
Q8N4X5	AFAP1L2	AFAP1L2
Q9UPR6	ZFR2	ZFR2
Q13105	ZBTB17	ZBTB17
Q86SJ2	AMIGO2	AMIGO2
Q13106	ZNF154	ZNF154
Q9UHB4	NDOR1	NDOR1
P15822	HIVEP1	HIVEP1
Q13107	USP4	USP4
Q8IU89	CERS3	CERS3
Q8NE28	STKLD1	STKLD1
Q9UHB6	LIMA1	LIMA1
Q86SJ6	DSG4	DSG4
Q9UHB7	AFF4	AFF4
Q6DD87	ZNF787	ZNF787
Q58WW2	DCAF6	DCAF6
Q9UHB9	SRP68	SRP68
Q6DD88	ATL3	ATL3
Q96NU0	CNTNAP3B	CNTNAP3B
A6NEK1	ARRDC5	ARRDC5
Q96NU1	SAMD11	SAMD11
Q8NCK3	ZNF485	ZNF485
Q15750	TAB1	TAB1
H3BSY2	GOLGA8M	GOLGA8M
Q76NI1	KNDC1	KNDC1
Q15751	HERC1	HERC1
Q8NCK7	SLC16A11	SLC16A11
Q8TCS8	PNPT1	PNPT1
P51671	CCL11	CCL11
Q96NU7	AMDHD1	AMDHD1
Q96FE5	LINGO1	LINGO1
Q6MZT1	RGS7BP	RGS7BP
Q15758	SLC1A5	SLC1A5
Q6JBY9	RCSD1	RCSD1
Q96FE7	PIK3IP1	PIK3IP1
P51674	GPM6A	GPM6A
O60930	RNASEH1	RNASEH1
Q99550	MPHOSPH9	MPHOSPH9
Q15759	MAPK11	MAPK11
Q7Z6J0	SH3RF1	SH3RF1
Q99551	MTERF1	MTERF1
O60931	CTNS	CTNS
Q8IZ40	RCOR2	RCOR2
P51677	CCR3	CCR3
Q8IZ41	RASEF	RASEF
Q7Z6J2	GRASP	GRASP
Q499Z3	SLFNL1	SLFNL1
O60934	NBN	NBN
P51679	CCR4	CCR4
Q499Z4	ZNF672	ZNF672
Q8N9T2	NKAPP1	NKAPP1
Q7Z6J4	FGD2	FGD2
P10619	CTSA	CTSA
Q8N1D0	SLC22A18AS	SLC22A18AS
Q6WBX8	RAD9B	RAD9B
Q9NUX5	POT1	POT1
O60936	NOL3	NOL3
Q7Z6J6	FRMD5	FRMD5
Q86XF0	DHFR2	DHFR2
C9JH25	PRRT4	PRRT4
Q99558	MAP3K14	MAP3K14
O60938	KERA	KERA
Q7Z6J8	UBE3D	UBE3D
O60939	SCN2B	SCN2B
Q9BUH6	PAXX	PAXX
P41159	LEP	LEP
Q7Z6J9	TSEN54	TSEN54
Q8N9T8	KRI1	KRI1
Q4G163	FBXO43	FBXO43
Q8N1D5	C1orf158	C1orf158
Q9BUH8	BEGAIN	BEGAIN
O95352	ATG7	ATG7
O15440	ABCC5	ABCC5
P46821	MAP1B	MAP1B
Q86XF7	ZNF575	ZNF575
O15442	MPPED1	MPPED1
P28906	CD34	CD34
P28907	CD38	CD38
P28908	TNFRSF8	TNFRSF8
Q8IXM2	C17orf49	C17orf49
O15444	CCL25	CCL25
P60866	RPS20	RPS20
Q8IXM3	MRPL41	MRPL41
O95359	TACC2	TACC2
A6NJG2	SOWAHD	SOWAHD
Q07890	SOS2	SOS2
P11487	FGF3	FGF3
Q6UXQ4	C2orf66	C2orf66
O15446	CD3EAP	CD3EAP
A5X5Y0	HTR3E	HTR3E
P11488	GNAT1	GNAT1
Q8IXM6	NRM	NRM
Q8WX92	NELFB	NELFB
Q2I0M4	LRRC26	LRRC26
O43889	CREB3	CREB3
Q9Y3S1	WNK2	WNK2
Q2I0M5	RSPO4	RSPO4
Q14432	PDE3A	PDE3A
Q8WX93	PALLD	PALLD
Q8IXM7	ODF3L1	ODF3L1
Q96SQ5	ZNF587	ZNF587
Q9Y3S2	ZNF330	ZNF330
Q9UKW4	VAV3	VAV3
Q01813	PFKP	PFKP
Q8WX94	NLRP7	NLRP7
A6NJG6	ARGFX	ARGFX
Q8NHG7	SVIP	SVIP
P82663	MRPS25	MRPS25
P02750	LRG1	LRG1
Q96C10	DHX58	DHX58
Q01814	ATP2B2	ATP2B2
Q8NHG8	ZNRF2	ZNRF2
P82664	MRPS10	MRPS10
Q14435	GALNT3	GALNT3
P02751	FN1	FN1
Q96C11	FGGY	FGGY
Q9UKW6	ELF5	ELF5
Q96SQ7	ATOH8	ATOH8
Q9HCI5	MAGEE1	MAGEE1
Q3ZM63	ETDA	ETDA
Q96KA5	CLPTM1L	CLPTM1L
Q96C12	ARMC5	ARMC5
P02753	RBP4	RBP4
Q9HCI6	KIAA1586	KIAA1586
P0CH98	FAM106C	FAM106C
Q96SQ9	CYP2S1	CYP2S1
P0CH99	ZNF705D	ZNF705D
P15374	UCHL3	UCHL3
Q9HCI7	MSL2	MSL2
A9QM74	KPNA7	KPNA7
Q14439	GPR176	GPR176
Q9P2S5	WRAP73	WRAP73
Q9P2S6	ANKMY1	ANKMY1
Q9NZT1	CALML5	CALML5
Q9NZT2	OGFR	OGFR
Q96IZ0	PAWR	PAWR
Q9NRD0	FBXO8	FBXO8
Q96C19	EFHD2	EFHD2
Q9BZD2	SLC29A3	SLC29A3
Q8WVR3	MAP11	MAP11
Q9NRD1	FBXO6	FBXO6
Q9BZD3	GCOM2	GCOM2
Q96IZ2	ADTRP	ADTRP
Q9BZD4	NUF2	NUF2
Q96AJ1	CLUAP1	CLUAP1
Q96IZ5	RBM41	RBM41
Q9BZD6	PRRG4	PRRG4
Q9NRD5	PICK1	PICK1
Q5R3F8	ELFN2	ELFN2
Q17RW2	COL24A1	COL24A1
O95810	CAVIN2	CAVIN2
Q9BZD7	PRRG3	PRRG3
Q96IZ6	METTL2A	METTL2A
Q6DN03	HIST2H2BC	HIST2H2BC
Q05707	COL14A1	COL14A1
Q496F6	CD300E	CD300E
Q96IZ7	RSRC1	RSRC1
P11940	PABPC1	PABPC1
P0C623	OR4Q2	OR4Q2
A1A4V9	CCDC189	CCDC189
Q9NRD8	DUOX2	DUOX2
Q9BR46	C20orf78	C20orf78
O95813	CER1	CER1
P59901	LILRA4	LILRA4
Q9NRD9	DUOX1	DUOX1
P10163	PRB4	PRB4
P0C626	OR5G3	OR5G3
Q9H1B4	NXF5	NXF5
O60476	MAN1A2	MAN1A2
Q9H1B5	XYLT2	XYLT2
P56880	CLDN20	CLDN20
O60477	BRINP1	BRINP1
O95816	BAG2	BAG2
Q96AJ9	VTI1A	VTI1A
P0C628	OR5AC1	OR5AC1
O60478	GPR137B	GPR137B
Q9H9R9	DBNDD1	DBNDD1
O95817	BAG3	BAG3
P0C629	OR10J4	OR10J4
Q9H1B7	IRF2BPL	IRF2BPL
O60479	DLX3	DLX3
Q49MI3	CERKL	CERKL
O95819	MAP4K4	MAP4K4
Q86U28	ISCA2	ISCA2
Q6PF15	KLHL35	KLHL35
Q8NE31	FAM13C	FAM13C
Q8N4Y2	CRACR2B	CRACR2B
Q13111	CHAF1A	CHAF1A
Q13112	CHAF1B	CHAF1B
Q13113	PDZK1IP1	PDZK1IP1
Q9UHC1	MLH3	MLH3
Q13114	TRAF3	TRAF3
Q6PF18	MORN3	MORN3
Q9UPS6	SETD1B	SETD1B
Q13115	DUSP4	DUSP4
Q8NE35	CPEB3	CPEB3
Q9UHC3	ASIC3	ASIC3
Q6ZMG9	CERS6	CERS6
Q3LHN0	KRTAP25-1	KRTAP25-1
Q13117	DAZ2	DAZ2
Q8IU99	CALHM1	CALHM1
Q9UPS8	ANKRD26	ANKRD26
Q3LHN1	KRTAP21-3	KRTAP21-3
Q13118	KLF10	KLF10
Q5D0E6	DALRD3	DALRD3
Q9UHC6	CNTNAP2	CNTNAP2
Q9UHC7	MKRN1	MKRN1
Q3LHN2	KRTAP19-2	KRTAP19-2
Q9UHC9	NPC1L1	NPC1L1
Q8TCT0	CERK	CERK
Q86SK9	SCD5	SCD5
Q8TCT1	PHOSPHO1	PHOSPHO1
A6NEL2	SOWAHB	SOWAHB
Q15760	GPR19	GPR19
A6NEL3	FAM86C2P	FAM86C2P
Q58G82	SYT14P1	SYT14P1
Q15761	NPY5R	NPY5R
Q8NCL4	GALNT6	GALNT6
Q8TCT6	SPPL3	SPPL3
Q6TCH4	PAQR6	PAQR6
Q01362	MS4A2	MS4A2
P46379	BAG6	BAG6
Q15762	CD226	CD226
Q8TCT7	SPPL2B	SPPL2B
Q8TCT8	SPPL2A	SPPL2A
Q9BW04	C1orf116	C1orf116
Q8NCL8	TMEM116	TMEM116
Q6TCH7	PAQR3	PAQR3
P10620	MGST1	MGST1
Q8TCT9	HM13	HM13
P51681	CCR5	CCR5
Q8NCL9	APCDD1L	APCDD1L
A0A0A6YYC5	TRAV14DV4	TRAV14DV4
Q96FF7	MISP3	MISP3
A1Z1Q3	MACROD2	MACROD2
Q15768	EFNB3	EFNB3
P51684	CCR6	CCR6
Q05BU3	FAM86JP	FAM86JP
P51685	CCR8	CCR8
P41161	ETV5	ETV5
O60941	DTNB	DTNB
Q96FF9	CDCA5	CDCA5
P51686	CCR9	CCR9
Q7Z6K1	THAP5	THAP5
P51687	SUOX	SUOX
P23246	SFPQ	SFPQ
O60942	RNGTT	RNGTT
P41162	ETV3	ETV3
Q6ZRC1	C4orf50	C4orf50
Q8N9U0	TC2N	TC2N
P51688	SGSH	SGSH
Q7Z6K3	PTAR1	PTAR1
P09210	GSTA2	GSTA2
Q8IZ52	CHPF	CHPF
P51689	ARSD	ARSD
Q7Z6K4	NRARP	NRARP
P09211	GSTP1	GSTP1
Q7Z6K5	ARPIN	ARPIN
Q63HQ0	AP1AR	AP1AR
Q9BUI4	POLR3C	POLR3C
Q99567	NUP88	NUP88
Q8N1E2	LYG1	LYG1
Q63HQ2	EGFLAM	EGFLAM
Q9NUY8	TBC1D23	TBC1D23
Q99569	PKP4	PKP4
Q8IZ57	NRSN1	NRSN1
O95361	TRIM16	TRIM16
F5GYI3	UBAP1L	UBAP1L
Q8N9U9	SPANXA2-OT1	SPANXA2-OT1
Q7L513	FCRLA	FCRLA
Q8N1E6	FBXL14	FBXL14
O95363	FARS2	FARS2
Q9H4W6	EBF3	EBF3
O95365	ZBTB7A	ZBTB7A
Q6PIF2	SYCE2	SYCE2
Q4G176	ACSF3	ACSF3
O43895	XPNPEP2	XPNPEP2
Q86XG9	NBPF5P	NBPF5P
Q8NHH1	TTLL11	TTLL11
O15455	TLR3	TLR3
O43896	KIF1C	KIF1C
O43897	TLL1	TLL1
Q6UXR4	SERPINA13P	SERPINA13P
C9JFL3	PHGR1	PHGR1
Q6PIF6	MYO7B	MYO7B
P11498	PC	PC
O15457	MSH4	MSH4
A8MYX2	FAM25E	FAM25E
Q9HCJ0	TNRC6C	TNRC6C
P04000	OPN1LW	OPN1LW
Q9UKX2	MYH2	MYH2
Q8IXN7	RIMKLA	RIMKLA
Q14442	PIGH	PIGH
P04001	OPN1MW	OPN1MW
Q9UKX3	MYH13	MYH13
Q9HCJ1	ANKH	ANKH
Q9HCJ2	LRRC4C	LRRC4C
Q96SR6	ZNF382	ZNF382
Q9HCJ3	RAVER2	RAVER2
P82673	MRPS35	MRPS35
Q9UKX5	ITGA11	ITGA11
F8WCM5	INS-IGF2	INS-IGF2
P02760	AMBP	AMBP
P04003	C4BPA	C4BPA
Q14444	CAPRIN1	CAPRIN1
P04004	VTN	VTN
Q9P2T0	THEG	THEG
Q9HCJ5	ZSWIM6	ZSWIM6
P18405	SRD5A1	SRD5A1
Q01826	SATB1	SATB1
Q96KB5	PBK	PBK
Q9UKX7	NUP50	NUP50
P82675	MRPS5	MRPS5
P15382	KCNE1	KCNE1
Q9P2T1	GMPR2	GMPR2
Q8NHH9	ATL2	ATL2
Q9HCJ6	VAT1L	VAT1L
Q9Y3T6	R3HCC1	R3HCC1
P02763	ORM1	ORM1
Q96C23	GALM	GALM
Q96C24	SYTL4	SYTL4
Q14449	GRB14	GRB14
H3BPF8	GOLGA8S	GOLGA8S
P02765	AHSG	AHSG
P02766	TTR	TTR
Q9Y3T9	NOC2L	NOC2L
Q9NZU0	FLRT3	FLRT3
Q9NZU1	FLRT1	FLRT1
Q96C28	ZNF707	ZNF707
Q9BZE0	GLIS2	GLIS2
P02768	ALB	ALB
Q9BZE1	MRPL37	MRPL37
Q9BZE2	PUS3	PUS3
Q9NRE1	MMP26	MMP26
Q8WVS4	WDR60	WDR60
Q9NRE2	TSHZ2	TSHZ2
Q9NZU5	LMCD1	LMCD1
Q9BZE3	BARHL1	BARHL1
Q9H9S0	NANOG	NANOG
Q9BZE4	GTPBP4	GTPBP4
A0A0U1RQI7	KLF18	KLF18
Q9NZU7	CABP1	CABP1
O60481	ZIC3	ZIC3
Q6DN12	MCTP2	MCTP2
Q9H9S3	SEC61A2	SEC61A2
Q9H1C0	LPAR5	LPAR5
Q9BZE7	C22orf23	C22orf23
Q96AK3	APOBEC3D	APOBEC3D
O95822	MLYCD	MLYCD
Q6DN14	MCTP1	MCTP1
Q9H9S4	CAB39L	CAB39L
Q6P5W5	SLC39A4	SLC39A4
Q9H9S5	FKRP	FKRP
P59910	DNAJB13	DNAJB13
Q9BZE9	ASPSCR1	ASPSCR1
Q9H1C3	GLT8D2	GLT8D2
Q9H1C4	UNC93B1	UNC93B1
O60486	PLXNC1	PLXNC1
O95825	CRYZL1	CRYZL1
Q5TZF3	ANKRD45	ANKRD45
O60487	MPZL2	MPZL2
Q6ZUX3	TOGARAM2	TOGARAM2
O60488	ACSL4	ACSL4
Q86U37	LINC01551	LINC01551
Q9H1C7	CYSTM1	CYSTM1
P10176	COX8A	COX8A
Q8N4Z0	RAB42	RAB42
Q86U38	NOP9	NOP9
Q5T9L3	WLS	WLS
Q6EEV6	SUMO4	SUMO4
P37198	NUP62	NUP62
Q93033	CD101	CD101
Q5SRH9	TTC39A	TTC39A
Q6ZUX7	LHFPL2	LHFPL2
Q93034	CUL5	CUL5
Q7KYR7	BTN2A1	BTN2A1
Q53HL2	CDCA8	CDCA8
Q6ZMH5	SLC39A5	SLC39A5
Q9UHD0	IL19	IL19
Q5MJ07	SPANXN5	SPANXN5
Q13123	IK	IK
Q9UHD1	CHORDC1	CHORDC1
Q9UHD2	TBK1	TBK1
Q5MJ08	SPANXN4	SPANXN4
P14060	HSD3B1	HSD3B1
Q9UPT5	EXOC7	EXOC7
Q93038	TNFRSF25	TNFRSF25
Q5MJ09	SPANXN3	SPANXN3
Q9UPT6	MAPK8IP3	MAPK8IP3
P14061	HSD17B1	HSD17B1
Q06587	RING1	RING1
Q13126	MTAP	MTAP
Q9UHD4	CIDEB	CIDEB
Q9UPT8	ZC3H4	ZC3H4
Q13127	REST	REST
Q9UPT9	USP22	USP22
Q13129	RLF	RLF
Q9UHD8	SEPTIN9	SEPTIN9
Q9UHD9	UBQLN2	UBQLN2
P33763	S100A5	S100A5
P49406	MRPL19	MRPL19
P33764	S100A3	S100A3
P15848	ARSB	ARSB
P49407	ARRB1	ARRB1
Q9NWA0	MED9	MED9
A6NEM1	GOLGA6L9	GOLGA6L9
Q8TCU3	SLC7A13	SLC7A13
Q8NCM2	KCNH5	KCNH5
P40305	IFI27	IFI27
P40306	PSMB10	PSMB10
Q5FWE3	PRRT3	PRRT3
Q63ZY3	KANK2	KANK2
Q8TCU4	ALMS1	ALMS1
Q15771	RAB30	RAB30
Q9BW11	MXD3	MXD3
Q8TCU5	GRIN3A	GRIN3A
P54707	ATP12A	ATP12A
Q15772	SPEG	SPEG
Q8TCU6	PREX1	PREX1
Q96NW4	ANKRD27	ANKRD27
Q63ZY6	NSUN5P2	NSUN5P2
Q15773	MLF2	MLF2
B7ZAQ6	GPR89A	GPR89A
Q96FG2	ELMOD3	ELMOD3
P54709	ATP1B3	ATP1B3
Q6P2C0	WDR93	WDR93
Q66K14	TBC1D9B	TBC1D9B
P51690	ARSE	ARSE
Q96NW7	LRRC7	LRRC7
Q8NCM8	DYNC2H1	DYNC2H1
Q15776	ZKSCAN8	ZKSCAN8
A0A0A6YYD4	TRBV13	TRBV13
P51692	STAT5B	STAT5B
Q15777	MPPED2	MPPED2
P10632	CYP2C8	CYP2C8
P51693	APLP1	APLP1
Q99570	PIK3R4	PIK3R4
A0JLT2	MED19	MED19
Q9BW19	KIFC1	KIFC1
Q05BV3	EML5	EML5
Q7Z6L0	PRRT2	PRRT2
Q99571	P2RX4	P2RX4
P10635	CYP2D6	CYP2D6
Q7Z6L1	TECPR1	TECPR1
Q99572	P2RX7	P2RX7
P10636	MAPT	MAPT
Q9NUZ1	ACOXL	ACOXL
Q6P2C8	MED27	MED27
Q9BUJ0	ABHD14A	ABHD14A
P23258	TUBG1	TUBG1
Q99574	SERPINI1	SERPINI1
Q6JQN1	ACAD10	ACAD10
